ID,MWE1,MWE2,Language,sentence_1,sentence_2,sim,alternative_1,alternative_2,sentence_previous,sentence_next,label,lemma,cos_sim
25473,baby blues,None,EN,"The little girl was a pretty child named Ruth, with blue eyes and long yellow curls.","The little girl was a pretty child named Ruth, with baby blues and long yellow curls.",1,empty,empty,"Giant, his wife, and two little Giants.",None,0,"['little', 'girl', 'pretty', 'child', 'named', 'ruth', 'blue', 'eye', 'long', 'yellow', 'curl']",0.648519115
733027,role model,None,EN,"Now inspiration was at hand, and accomplishment had betrayed him.","Now role model was at hand, and accomplishment had betrayed him.",1,empty,empty,None,These effusions of restless love which he had lately produced were surely the most wretched cripples ever sent to climb the Heliconian slope.,0,"['inspiration', 'hand', 'accomplishment', 'betrayed']",0.701839465
66032,melting pot,None,EN,Give the melting pot three times daily.,Give the unfrozen pot three times daily.,None,Give the mixture three times daily.,Give the unfrozen pot three times daily.,"Nearly in the same state as yesterday, except that he is not so thirsty, and does not eat so well.","He had an emetic in the morning, which produced a large quantity of phlegm, but the cough is no better.",0,"['give', 'melting', 'pot', 'three', 'time', 'daily']",0.673469359
616594,blue blood,None,EN,My pleasures are very harmless; what can be more harmless than keeping this shell of ours in the highest state of capacity for blue blood deeds?,My pleasures are very harmless; what can be more harmless than keeping this shell of ours in the highest state of capacity for azure lifeblood deeds?,None,My pleasures are very harmless; what can be more harmless than keeping this shell of ours in the highest state of capacity for noble deeds?,My pleasures are very harmless; what can be more harmless than keeping this shell of ours in the highest state of capacity for azure lifeblood deeds?,"Nay, even your fanatic is a man who makes a pleasure and an excitement of religion.","I know,"" he said, turning to Tom, ""what the great temptation is that such men as you or I have to contend against.",0,"['pleasure', 'harmless', 'harmless', 'keeping', 'shell', 'highest', 'state', 'capacity', 'blue', 'blood', 'deed']",0.738280144
400592,brass ring,None,EN,"I'll never try for a brass ring again, I know that.'","I'll never try for a metal ring again, I know that.'",None,"I'll never try for a prize again, I know that.'","I'll never try for a metal ring again, I know that.'","You know the class _is_ on Monday morning, so I've as good as lost my chance already, and I needn't bother about it any more.",None,0,"['ill', 'never', 'try', 'brass', 'ring', 'know']",0.760342176
571189,small fry,None,EN,"""Pray leave my insignificant self entirely out of the question.","""Pray leave my small fry self entirely out of the question.",1,empty,empty,None,"The matter under discussion is what's best for you, and with all due deference to Frau Leah's worldly wisdom, I think she made a mistake this time.""",0,"['pray', 'leave', 'insignificant', 'self', 'entirely', 'question']",0.727370714
1034542,top dog,None,EN,"But we are the United States of America, the top dog of the West that has become the top dog of the world.","But we are the United States of America, the best dog of the West that has become the best dog of the world.",None,"But we are the United States of America, the leader of the West that has become the leader of the world.","But we are the United States of America, the best dog of the West that has become the best dog of the world.","There are those who say that now we can turn away from the world, that we have no special role, no special place.",None,0,"['united', 'state', 'america', 'top', 'dog', 'west', 'become', 'top', 'dog', 'world']",0.5
832030,grandfather clock,None,EN,"He made our grandfather clock run ag'in, an' run better than ever.","He made our granddad clock run ag'in, an' run better than ever.",None,"He made our clock run ag'in, an' run better than ever.","He made our granddad clock run ag'in, an' run better than ever.","He fixed up Tom's gun, that's been out of whack for a year.",Then he saved our cow from that poison-weed.,0,"['made', 'grandfather', 'clock', 'run', 'agin', 'run', 'better', 'ever']",0.80070706
1007910,elbow room,None,EN,"""The corporation controls the Earth elbow room stations, through the government, and we have to use direct drive stage-rockets.""","""The corporation controls the Earth joint room stations, through the government, and we have to use direct drive stage-rockets.""",None,"""The corporation controls the Earth space stations, through the government, and we have to use direct drive stage-rockets.""","""The corporation controls the Earth joint room stations, through the government, and we have to use direct drive stage-rockets.""","""One was blasted in space last week, and they're too old to lift more than half cargo, anyhow,"" said Javan.","Cornel left, not feeling very optimistic.",0,"['corporation', 'control', 'earth', 'elbow', 'room', 'station', 'government', 'use', 'direct', 'drive', 'stagerockets']",0.961230585
1049260,black box,None,EN,"He was a tall, stooped, old-looking young man, with shaggy flaxen hair and round grey eyes as black box as pebbles.","He was a tall, stooped, old-looking young man, with shaggy flaxen hair and round grey eyes as dark box as pebbles.",None,"He was a tall, stooped, old-looking young man, with shaggy flaxen hair and round grey eyes as opaque as pebbles.","He was a tall, stooped, old-looking young man, with shaggy flaxen hair and round grey eyes as dark box as pebbles.",None,"Though his expression was stupid, he had intelligence above the ordinary, and was the best carpenter at Pedlar's Mill.",0,"['tall', 'stooped', 'oldlooking', 'young', 'man', 'shaggy', 'flaxen', 'hair', 'round', 'grey', 'eye', 'black', 'box', 'pebble']",0.811585898
739856,blue blood,None,EN,and the blue blood company went into the royal dining-room.,and the azure lifeblood company went into the royal dining-room.,None,and the noble company went into the royal dining-room.,and the azure lifeblood company went into the royal dining-room.,At length the groom of the chambers announced his Royal Highness the Prince of Crim Tartary!,None,0,"['blue', 'blood', 'company', 'went', 'royal', 'diningroom']",0.874448601
758491,smoke screen,None,EN,"As he had neither taste nor inclination for drink or brutality, he found a counter distraction in driving the vessel.","As he had neither taste nor inclination for drink or brutality, he found a counter smoke screen in driving the vessel.",1,empty,empty,None,None,0,"['neither', 'taste', 'inclination', 'drink', 'brutality', 'found', 'counter', 'distraction', 'driving', 'vessel']",0.839850395
306797,memory lane,None,EN,"""I not only suggest it, but I state positively that there have been four attempts on your life in the past fortnight,"" he said calmly.","""I not only suggest it, but I state positively that there have been four attempts on your life in the memory lane fortnight,"" he said calmly.",1,empty,empty,"""Do you still suggest that she harbours designs against my young life?""","""Let us have this out,"" she said recklessly.",0,"['suggest', 'state', 'positively', 'four', 'attempt', 'life', 'past', 'fortnight', 'said', 'calmly']",0.701040553
79549,melting pot,None,EN,"Set this mixture over a slow fire, stirring it _without ceasing_, and just as it begins to boil, take it off and pass it through a tammy.","Set this melting pot over a slow fire, stirring it _without ceasing_, and just as it begins to boil, take it off and pass it through a tammy.",1,empty,empty,"of sugar, clarified, and flavoured with vanilla, 1 pint of cream, and the yolks of 12 eggs.",None,0,"['set', 'mixture', 'slow', 'fire', 'stirring', 'without', 'ceasing', 'begin', 'boil', 'take', 'pas', 'tammy']",0.821296689
1121489,memory lane,None,EN,The thing that stirred up our office was the discovery that in the past eighty years not one castaway has come back alive.,The thing that stirred up our office was the discovery that in the memory lane eighty years not one castaway has come back alive.,1,empty,empty,"""Seven suicides out of a given group over a period of eighty years isn't much, after all.","They've either been crated out as suicides or sent through letters saying they have decided to become citizens of Tolstoia.""",0,"['thing', 'stirred', 'office', 'discovery', 'past', 'eighty', 'year', 'one', 'castaway', 'come', 'back', 'alive']",0.604192122
846655,head hunter,None,EN,Mr. Fugleberg is an old hunter and has had much experience with the wild pigeon.,Mr. Fugleberg is an old head hunter and has had much experience with the wild pigeon.,1,empty,empty,"One flock of some fifty birds flew within gunshot of me, the others all the way from one hundred to three hundred yards from where I stood.""",None,0,"['mr', 'fugleberg', 'old', 'hunter', 'much', 'experience', 'wild', 'pigeon']",0.855265237
567616,elbow room,None,EN,"Perhaps you don't know what elbow room is, never having had any.","Perhaps you don't know what joint room is, never having had any.",None,"Perhaps you don't know what freedom is, never having had any.","Perhaps you don't know what joint room is, never having had any.",And you can be sure that so long as I can keep myself I shan't come to you for help or advice.,None,0,"['perhaps', 'dont', 'know', 'elbow', 'room', 'never']",0.665764799
952337,elbow room,None,EN,Probably it was the thought she entertained for that short space in the connecting of me with her old and pure existence.,Probably it was the thought she entertained for that short elbow room in the connecting of me with her old and pure existence.,1,empty,empty,"When her eyes met mine, for a second in their dull depths I could see an expression of the old innocence.",When she spoke I could not be mistaken.,0,"['probably', 'thought', 'entertained', 'short', 'space', 'connecting', 'old', 'pure', 'existence']",0.903373067
176462,blue blood,None,EN,"His splendid stripes, black and grey and tawny, are too wide for blue blood lineage.","His splendid stripes, black and grey and tawny, are too wide for azure lifeblood lineage.",None,"His splendid stripes, black and grey and tawny, are too wide for noble lineage.","His splendid stripes, black and grey and tawny, are too wide for azure lifeblood lineage.","Its only ornament is the cat, and his beauty is more apparent to the artist than to the fancier.","He has a broad benignant brow, like Benjamin Franklin's; but his brooding eyes, golden, unfathomable, deny benignancy.",0,"['splendid', 'stripe', 'black', 'grey', 'tawny', 'wide', 'blue', 'blood', 'lineage']",0.847070807
1105212,private eye,None,EN,"“That’s the end of one poor, storm-tossed soul,” muttered the private eye as he walked away.","“That’s the end of one poor, storm-tossed soul,” muttered the personal eye as he walked away.",None,"“That’s the end of one poor, storm-tossed soul,” muttered the detective as he walked away.","“That’s the end of one poor, storm-tossed soul,” muttered the personal eye as he walked away.",None,None,0,"['“', '’', 'end', 'one', 'poor', 'stormtossed', 'soul', '”', 'muttered', 'private', 'eye', 'walked', 'away']",0.65504323
1114778,goose egg,None,EN,"There was a goose egg in the hall without, and shrieks of laughter.","There was a duck egg in the hall without, and shrieks of laughter.",None,"There was a bump in the hall without, and shrieks of laughter.","There was a duck egg in the hall without, and shrieks of laughter.",None,None,0,"['goose', 'egg', 'hall', 'without', 'shriek', 'laughter']",0.70979541
577479,role model,None,EN,"As easily say to the poet who exhausts himself, and whose genius preys upon his health, 'Pause in the midst of the inspiration which urges you!'","As easily say to the poet who exhausts himself, and whose genius preys upon his health, 'Pause in the midst of the role model which urges you!'",1,empty,empty,How could I check myself?,None,0,"['easily', 'say', 'poet', 'exhaust', 'whose', 'genius', 'prey', 'upon', 'health', 'pause', 'midst', 'inspiration', 'urge']",0.616135158
338526,memory lane,None,EN,"cried the latter sharply, as with a bound the lad sprang memory lane him to stand between him and the side of the room.","cried the latter sharply, as with a bound the lad sprang retention lane him to stand between him and the side of the room.",None,"cried the latter sharply, as with a bound the lad sprang past him to stand between him and the side of the room.","cried the latter sharply, as with a bound the lad sprang retention lane him to stand between him and the side of the room.",None,For answer Denis drew his sword and pointed to the panel.,0,"['cried', 'latter', 'sharply', 'bound', 'lad', 'sprang', 'memory', 'lane', 'stand', 'side', 'room']",0.880891474
695085,big fish,None,EN,"Not at all--why, she might think that he was the most important person present.","Not at all--why, she might think that he was the most big fish present.",1,empty,empty,"Mr. Fearn, Head of the Section, to receive the Princess on arrival?","Mr. Fearn might hide where he pleased, but was to form no part of the Reception Committee.",0,"['allwhy', 'might', 'think', 'important', 'person', 'present']",0.789947503
924331,closed book,None,EN,"It is agreed, however, that some mystery surrounds this woman in question.","It is agreed, however, that some closed book surrounds this woman in question.",1,empty,empty,"Certain suspicions were aroused, and observation was kept, but nothing tangible was discovered.","She left London quite suddenly, but left no debts behind.""",0,"['agreed', 'however', 'mystery', 'surround', 'woman', 'question']",0.689358773
683265,elbow room,None,EN,"If this is done, ample space and nutrients must accompany careful management.","If this is done, ample elbow room and nutrients must accompany careful management.",1,empty,empty,Nipping out the growing point with the first cluster of flower buds is sometimes practiced to encourage branching and a heavier yield of early fruit.,"Otherwise, the plant finds itself with inadequate resources to do a big job.",0,"['done', 'ample', 'space', 'nutrient', 'must', 'accompany', 'careful', 'management']",0.978273817
911831,elbow room,None,EN,It may be that in that space of time while Peter and John were running to the sepulchre Jesus himself chose to draw near to his mother.,It may be that in that elbow room of time while Peter and John were running to the sepulchre Jesus himself chose to draw near to his mother.,1,empty,empty,The earlier Christian tradition speaks of our Lord's first visit to his mother.,"To her he gave one of his last dying words, and we cannot but believe that one of his earliest risen messages of hope and blessing was for her.",0,"['may', 'space', 'time', 'peter', 'john', 'running', 'sepulchre', 'jesus', 'chose', 'draw', 'near', 'mother']",0.851432984
236179,head hunter,None,EN,"She has been Professor of English Literature at her Alma Mater, now called Hunter College, since 1899.","She has been Professor of English Literature at her Alma Mater, now called Hunter College, since 1899.",1,empty,empty,Graduated at the Normal College of New York City in 1876.,None,0,"['professor', 'english', 'literature', 'alma', 'mater', 'called', 'hunter', 'college', 'since', '1899']",0.727166867
676394,heavy cross,None,EN,"He should have known it long since were it not cruel to share between three a heavy cross that two can well bear.""","He should have known it long since were it not cruel to share between three a weighty cross that two can well bear.""",None,"He should have known it long since were it not cruel to share between three a burden that two can well bear.""","He should have known it long since were it not cruel to share between three a weighty cross that two can well bear.""",Surely he is our friend enough to know all.,"She made no answer, and began again to twist the wool between her needles, but nervously and as if her thoughts were sad.",0,"['known', 'long', 'since', 'cruel', 'share', 'three', 'heavy', 'cross', 'two', 'well', 'bear']",0.744890197
1098262,memory lane,None,EN,Such a devotee of his own memory lane should have been spared to see it through a bluer haze.,Such a devotee of his own retention lane should have been spared to see it through a bluer haze.,None,Such a devotee of his own past should have been spared to see it through a bluer haze.,Such a devotee of his own retention lane should have been spared to see it through a bluer haze.,None,"Yet even in middle life how fair it looked to him, and how lovingly he laid its colors as he transferred the picture to the page!",0,"['devotee', 'memory', 'lane', 'spared', 'see', 'bluer', 'haze']",0.68819786
134395,cloud nine,None,EN,"He had just received her ecstatic response to his wire--and that very night she came to him, vividly, as he hovered on the confines of sleep.","He had just received her cloud nine response to his wire--and that very night she came to him, vividly, as he hovered on the confines of sleep.",1,empty,empty,He had not even heard his mother was ill.,"There she stood by his bed, in her mother-o'-pearl gown and sari; clear in every detail; lips just parted; a hovering smile in her eyes.",0,"['received', 'ecstatic', 'response', 'wireand', 'night', 'came', 'vividly', 'hovered', 'confines', 'sleep']",0.745818646
129057,ancient history,None,EN,"In the past it was supposed that there were some things which, because of their nature, were not marketable, while others were beyond price.","In the past it was supposed that there were some things which, because of their nature, were not marketable, while others were beyond price.",1,empty,empty,None,"To-day we set values on everything, even on men's bodies; eyes, ears, legs and lives can be priced.",0,"['past', 'supposed', 'thing', 'nature', 'marketable', 'others', 'beyond', 'price']",0.875829385
1167528,elbow room,None,EN,But exercise and a special aptitude for it enable some men to walk great distances in a relatively short elbow room of time.,But exercise and a special aptitude for it enable some men to walk great distances in a relatively short joint room of time.,None,But exercise and a special aptitude for it enable some men to walk great distances in a relatively short space of time.,But exercise and a special aptitude for it enable some men to walk great distances in a relatively short joint room of time.,"[Footnote: In ordinary walking the speed is nearly four miles an hour, and can be kept up for a long period.","Trained walkers have gone seventy-five miles in twenty hours, and walked the distance of thirty-seven miles at the rate of five miles an hour.",0,"['exercise', 'special', 'aptitude', 'enable', 'men', 'walk', 'great', 'distance', 'relatively', 'short', 'elbow', 'room', 'time']",0.737643758
875860,blue blood,None,EN,"The blue blood words she had spoken in my favor had thrilled me with gratitude, and increased the tenderness I had always cherished toward her.","The azure lifeblood words she had spoken in my favor had thrilled me with gratitude, and increased the tenderness I had always cherished toward her.",None,"The noble words she had spoken in my favor had thrilled me with gratitude, and increased the tenderness I had always cherished toward her.","The azure lifeblood words she had spoken in my favor had thrilled me with gratitude, and increased the tenderness I had always cherished toward her.","For Mary I felt a keen admiration, and a brother's fondest love.",None,0,"['blue', 'blood', 'word', 'spoken', 'favor', 'thrilled', 'gratitude', 'increased', 'tenderness', 'always', 'cherished', 'toward']",0.850981801
251459,melting pot,None,EN,"- - French tub, a dyer's mixture of protochloride of tin and logwood; -- called also plum tub.","- - French tub, a dyer's melting pot of protochloride of tin and logwood; -- called also plum tub.",1,empty,empty,"), a modified form of mansard roof having a nearly flat deck for the upper slope.",The language spoken in France.,0,"['french', 'tub', 'dyer', 'mixture', 'protochloride', 'tin', 'logwood', 'called', 'also', 'plum', 'tub']",0.783450423
231878,blue blood,None,EN,"Elsie Noble had turned on Alicia, her small black eyes snapping.","Elsie Noble had turned on Alicia, her small black eyes snapping.",None,"Elsie Noble had turned on Alicia, her small black eyes snapping.","Elsie Noble had turned on Alicia, her small black eyes snapping.","""I will not have these people in my room, Alicia Reynolds!","""Half this room happens to be mine,"" tranquilly reminded Alicia.",0,"['elsie', 'noble', 'turned', 'alicia', 'small', 'black', 'eye', 'snapping']",0.8698991
548712,fall guy,None,EN,"Lastly, the fall guy may be a divine man.","Lastly, the drop guy may be a divine man.",None,"Lastly, the scapegoat may be a divine man.","Lastly, the drop guy may be a divine man.",None,None,0,"['lastly', 'fall', 'guy', 'may', 'divine', 'man']",0.789909765
1120209,silver screen,None,EN,"PEKERIS, C. L., and W. T. WHITE, Differentiation with the Cinema Integraph, _Journal of the Franklin Institute_, vol.","PEKERIS, C. L., and W. T. WHITE, Differentiation with the Cinema Integraph, _Journal of the Franklin Institute_, vol.",1,empty,empty,"MYERS, D. M., An Integraph for the Solution of Differential Equations of the Second-Order, _Journal of Scientific Instruments_, vol.",None,0,"['pekeris', 'c', 'l', 'w', 'white', 'differentiation', 'cinema', 'integraph', 'journal', 'franklin', 'institute', 'vol']",0.82870816
520104,memory lane,None,EN,In the dark memory lane be lost!,In the dark retention lane be lost!,None,In the dark past be lost!,In the dark retention lane be lost!,None,"And thou whom once I met As friend, while thou didst live, The hour when I forget, I likewise should forgive.",0,"['dark', 'memory', 'lane', 'lost']",0.767113155
744755,elbow room,None,EN,"The three seven degree curves occur in heavy rock-cuttings, and these are all the sharp curves that are contained in a space of thirteen miles.","The three seven degree curves occur in heavy rock-cuttings, and these are all the sharp curves that are contained in a elbow room of thirteen miles.",1,empty,empty,It cannot be avoided without a tunnel or a curve over the entire bridge.,Above Shelburne Falls the alignment and grades are more favorable.,0,"['three', 'seven', 'degree', 'curve', 'occur', 'heavy', 'rockcuttings', 'sharp', 'curve', 'contained', 'space', 'thirteen', 'mile']",0.868863043
678734,blue blood,None,EN,"""I would that all Germany witnessed your majesty's blue blood decision,"" said the general with emotion.","""I would that all Germany witnessed your majesty's azure lifeblood decision,"" said the general with emotion.",None,"""I would that all Germany witnessed your majesty's noble decision,"" said the general with emotion.","""I would that all Germany witnessed your majesty's azure lifeblood decision,"" said the general with emotion.","You see that the heir of the German emperors sacrifices all for Germany!""","""Speak to Count Andrassy,"" said the emperor, with a little hesitation.",0,"['would', 'germany', 'witnessed', 'majesty', 'blue', 'blood', 'decision', 'said', 'general', 'emotion']",0.865541557
70906,memory lane,None,EN,Elder Strong and I know from memory lane experience that a preacher--a young unmarried preacher cannot be too careful.,Elder Strong and I know from retention lane experience that a preacher--a young unmarried preacher cannot be too careful.,None,Elder Strong and I know from past experience that a preacher--a young unmarried preacher cannot be too careful.,Elder Strong and I know from retention lane experience that a preacher--a young unmarried preacher cannot be too careful.,"Some of our ladies feel--I may say that we feel that you have been a little, ah--careless about some things of late.","Not that we have the least idea that you mean any harm, you know--not the least in the world.",0,"['elder', 'strong', 'know', 'memory', 'lane', 'experience', 'preachera', 'young', 'unmarried', 'preacher', 'careful']",0.845323225
257857,front runner,None,EN,"A beautiful house was built for them; she was the favourite daughter-in-law; everything went well with them, and they lived happily ever after.","A beautiful house was built for them; she was the front runner daughter-in-law; everything went well with them, and they lived happily ever after.",1,empty,empty,Great was the delight of the mother at her youngest son's good fortune.,"THE PRINCESS WHO WAS HIDDEN UNDERGROUND Once there was a king who had great riches, which, when he died, he divided among his three sons.",0,"['beautiful', 'house', 'built', 'favourite', 'daughterinlaw', 'everything', 'went', 'well', 'lived', 'happily', 'ever']",0.64923929
275591,blue blood,None,EN,"But I cannot take such hopes on the word of another, however gallant and noble he may be.","But I cannot take such hopes on the word of another, however gallant and blue blood he may be.",1,empty,empty,"He had, of course, an unconquerable optimism, which argued promise from failure and perfection from incompleteness.",None,0,"['take', 'hope', 'word', 'another', 'however', 'gallant', 'noble', 'may']",0.697053747
350933,head hunter,None,EN,"So they moved the mighty Hunter and the Bull, and the River and all the animals, up to heaven, and the fight has gone on there ever since.","So they moved the mighty Hunter and the Bull, and the River and all the animals, up to heaven, and the fight has gone on there ever since.",1,empty,empty,None,None,0,"['moved', 'mighty', 'hunter', 'bull', 'river', 'animal', 'heaven', 'fight', 'gone', 'ever', 'since']",0.811293224
1042500,memory lane,None,EN,"He hurried softly memory lane a row of doors to the end of the hall, then up a short flight of stairs.","He hurried softly retention lane a row of doors to the end of the hall, then up a short flight of stairs.",None,"He hurried softly past a row of doors to the end of the hall, then up a short flight of stairs.","He hurried softly retention lane a row of doors to the end of the hall, then up a short flight of stairs.","He was in a dim, carpeted corridor, probably part of the servants' quarters.",A heavy door faced him.,0,"['hurried', 'softly', 'memory', 'lane', 'row', 'door', 'end', 'hall', 'short', 'flight', 'stair']",0.678904292
181120,elbow room,None,EN,"We learned there was formerly a large and flourishing cattle estate on this spot, with an open grassy elbow room like a park.","We learned there was formerly a large and flourishing cattle estate on this spot, with an open grassy joint room like a park.",None,"We learned there was formerly a large and flourishing cattle estate on this spot, with an open grassy space like a park.","We learned there was formerly a large and flourishing cattle estate on this spot, with an open grassy joint room like a park.",None,None,0,"['learned', 'formerly', 'large', 'flourishing', 'cattle', 'estate', 'spot', 'open', 'grassy', 'elbow', 'room', 'like', 'park']",0.604001965
516428,grandfather clock,None,EN,"He is at eighty-six now, and expects to be at sixty-two at this time to-morrow, assuming that he can trust the grandfather clock while he's asleep.""","He is at eighty-six now, and expects to be at sixty-two at this time to-morrow, assuming that he can trust the granddad clock while he's asleep.""",None,"He is at eighty-six now, and expects to be at sixty-two at this time to-morrow, assuming that he can trust the clock while he's asleep.""","He is at eighty-six now, and expects to be at sixty-two at this time to-morrow, assuming that he can trust the granddad clock while he's asleep.""","He prefers to accept our estimate of the interval as authentic, and to deduct each hour as it passes.",None,0,"['eightysix', 'expects', 'sixtytwo', 'time', 'tomorrow', 'assuming', 'trust', 'grandfather', 'clock', 'he', 'asleep']",0.749863808
232702,rocket science,None,EN,The fact that these two officers had hated each other for years made a rocket science no easier.,The fact that these two officers had hated each other for years made a projectile knowledge no easier.,None,The fact that these two officers had hated each other for years made a difficult problem no easier.,The fact that these two officers had hated each other for years made a projectile knowledge no easier.,None,None,0,"['fact', 'two', 'officer', 'hated', 'year', 'made', 'rocket', 'science', 'easier']",0.716508114
649141,memory lane,None,EN,"I suppose girls will be girls, and the thing's done now, and past praying for, so there's an end of it.""","I suppose girls will be girls, and the thing's done now, and memory lane praying for, so there's an end of it.""",1,empty,empty,I'll bring you some more water in a can.,"It might be the end of the water jug, but unfortunately it was not the end of Merle's ill-luck.",0,"['suppose', 'girl', 'girl', 'thing', 'done', 'past', 'praying', 'there', 'end']",0.808211925
453459,memory lane,None,EN,"The indications are that for thousands, or tens of thousands, of years in the past their intellectual progress has been almost nothing.","The indications are that for thousands, or tens of thousands, of years in the memory lane their intellectual progress has been almost nothing.",1,empty,empty,They also are mentally stagnant.,None,0,"['indication', 'thousand', 'ten', 'thousand', 'year', 'past', 'intellectual', 'progress', 'almost', 'nothing']",0.851893225
1023047,small fry,None,EN,"Rosy, who stepped by her side, looked altogether small and insignificant by comparison.","Rosy, who stepped by her side, looked altogether small and small fry by comparison.",1,empty,empty,"She was walking very upright, and there was not a scrap of fear about her.",None,0,"['rosy', 'stepped', 'side', 'looked', 'altogether', 'small', 'insignificant', 'comparison']",0.820297468
844653,cloud nine,None,EN,"That she lapsed thus into ""pidgin"" was a sure sign of the girl's ecstatic excitement.","That she lapsed thus into ""pidgin"" was a sure sign of the girl's cloud nine excitement.",1,empty,empty,"He too much dirtee long time.""","Usually her English--especially when she had time to ponder and polish it in advance, as when she put questions--was much better than that.",0,"['lapsed', 'thus', 'pidgin', 'sure', 'sign', 'girl', 'ecstatic', 'excitement']",0.877980956
284227,closed book,None,EN,"""But in the country everyone knows the business of everyone else, and when there is a mystery no one is happy until it's solved.","""But in the country everyone knows the business of everyone else, and when there is a closed book no one is happy until it's solved.",1,empty,empty,"He was used to entirely different things, and--oh, well, I suppose in some places what he did wouldn't have been talked about, even.",That's why Zara and her father got themselves so disliked.,0,"['country', 'everyone', 'know', 'business', 'everyone', 'else', 'mystery', 'one', 'happy', 'solved']",0.823627691
