ID,MWE1,MWE2,Language,sentence_1,sentence_2,sim,alternative_1,alternative_2,sentence_previous,sentence_next,sentence_1_inferences
1089298,cutting edge,None,EN,The cutting edge of them unfortunately had not readers enough to give satisfactory publicity to the ideas one desired to put forth.,The slicing edge of them unfortunately had not readers enough to give satisfactory publicity to the ideas one desired to put forth.,None,The most advanced of them unfortunately had not readers enough to give satisfactory publicity to the ideas one desired to put forth.,The slicing edge of them unfortunately had not readers enough to give satisfactory publicity to the ideas one desired to put forth.,None,None,"['to make a mistake', 'to think of a good idea', 'to make a difference', 'to make a point', 'to make a difference', 'to show off their skills', 'satisfied', 'content', 'gets rejected', 'personx cries', 'stupid', 'dissatisfied']"
533113,head hunter,None,EN,"This time the hunter pointed exactly opposite, where almost precisely the same thing was visible.","This time the head hunter pointed exactly opposite, where almost precisely the same thing was visible.",1,empty,empty,"""Now take a peep off there.""","""Now, I s'pose you understand how it all is?","['to spot the same thing', 'to see something', 'to find the same thing', 'to show off', 'to see the same thing', 'to find out where it is', 'satisfied', 'like they were seeing something', 'smiles', 'looks down', 'curious', 'shocked']"
903722,heavy cross,None,EN,When they have committed a crime they are crushed under the heavy cross of repentance.,When they have committed a crime they are crushed under the weighty cross of repentance.,None,When they have committed a crime they are crushed under the burden of repentance.,When they have committed a crime they are crushed under the weighty cross of repentance.,"The major part of men cannot support the weight of liberty, and fear it more than death.",None,"['to commit a crime', 'to do something bad', 'to be forgiven', 'to not be caught', 'to be forgiven', 'to make a difference', 'defeated', 'sorry', 'goes to jail', 'personx is shunned', 'guilty', 'responsible']"
572401,baby blues,None,EN,Gavin French drew a deep breath and his cold blue eyes for a moment held a curiously soft expression.,Gavin French drew a deep breath and his cold baby blues for a moment held a curiously soft expression.,1,empty,empty,"But I am glad you do not think me a coward.""","""Mackay,"" he said, ""it probably sounds queer, but I have always liked you.","['to open his eyes', 'to look at his face', 'to be loved', 'to get away from the cold', 'to take a break', 'to find something to do', 'happy', 'like a good friend', 'smiles', 'goes to sleep', 'cold', 'bored']"
225263,elbow room,None,EN,To protect the new religion it successfully asserted its municipal freedom almost to the point of independence.,To protect the new religion it successfully asserted its municipal elbow room almost to the point of independence.,1,empty,empty,"Though coming late to the support of the Reformation, its conversion was thorough and lasting.",None,"['to make a decision', 'to find out about it', 'to make a difference', 'to be successful', 'to make a difference', 'to show off their new religion', 'accomplished', 'like a good citizen', 'becomes a citizen', 'goes to court', 'religious', 'selfish']"
387768,grandfather clock,None,EN,"He had time to think again; and a disagreeable consideration was forced upon him, as he heard the grandfather clock of the Baptist Church strike one.","He had time to think again; and a disagreeable consideration was forced upon him, as he heard the granddad clock of the Baptist Church strike one.",None,"He had time to think again; and a disagreeable consideration was forced upon him, as he heard the clock of the Baptist Church strike one.","He had time to think again; and a disagreeable consideration was forced upon him, as he heard the granddad clock of the Baptist Church strike one.",None,He was in Camden harbor; he must come to anchor; and the next morning everybody would wonder what boat the stranger was.,"['to hear the clock', 'to listen to the preacher', 'to learn more', 'to know the time', 'to go to bed', 'to leave the house', 'satisfied', 'stressed', 'goes to sleep', 'personx regrets their decision', 'frustrated', 'dissatisfied']"
944936,heavy cross,None,EN,The bearers of this heavy cross are generally men of great ability.,The bearers of this weighty cross are generally men of great ability.,None,The bearers of this burden are generally men of great ability.,The bearers of this weighty cross are generally men of great ability.,None,But no Chief Secretary could possibly take under his wing yet another department with the entirely new and important functions now to be discharged.,"['to work hard', 'to go to the barber', 'to be successful', 'to win', 'to be successful', 'to be a leader', 'proud', 'successful', 'personx is admired', 'wins the game', 'athletic', 'committed']"
820965,heavy cross,None,EN,"The glass trade, after the removal of the burden imposed upon it, seemed to offer a fair opening for money seeking investment.","The glass trade, after the removal of the heavy cross imposed upon it, seemed to offer a fair opening for money seeking investment.",1,empty,empty,"In 1846 and 1847, following the repeal of the duty, the number had increased to twenty-four.",The demand for glass was so great that the manufacturers were in despair.,"['to go to the market', 'to have money', 'to make money', 'to win', 'to make money', 'to have a good time', 'accomplished', 'like a winner', 'personx loses money', 'goes broke', 'capable', 'open']"
662291,front runner,None,EN,"A parrot who had been reared with kindness, selected as his prime favourite the youngest child in the family.","A parrot who had been reared with kindness, selected as his prime front runner the youngest child in the family.",1,empty,empty,"Now and then, there seems some variation from this rule.",By every means in his power he expressed this preference.,"['to be a parent', 'to have a child', 'to be the best', 'to be happy', 'to be loved', 'to be a good parent', 'pleased', 'like a good son', 'smiles', 'personx gets a new pet', 'lucky', 'a good listener']"
530195,brass ring,None,EN,For already the clubs had discounted the chances of one favorite or another for winning the marital prize of the year.,For already the clubs had discounted the chances of one favorite or another for winning the marital brass ring of the year.,1,empty,empty,"con._, when bidden to the event promising so much in present feast, and which might possibly so tend to prevent future famine.",Foremost among those who had hastened to welcome Blanche back to her new home was Miss Rose Wood.,"['to go to the party', 'to find a place to go', 'to be the best', 'to show off', 'to celebrate', 'to go to the party', 'happy', 'successful', 'personx wins the game', 'personx sweats', 'lucky', 'curious']"
739006,glass ceiling,None,EN,It seems that ecological difference rather than the glass ceiling formed by the higher elevations is responsible for the limited expansion of range.,It seems that ecological difference rather than the mirror ceiling formed by the higher elevations is responsible for the limited expansion of range.,None,It seems that ecological difference rather than the barrier formed by the higher elevations is responsible for the limited expansion of range.,It seems that ecological difference rather than the mirror ceiling formed by the higher elevations is responsible for the limited expansion of range.,"trinotatus_ has expanded its range only slightly, reaching as far as southwestern British Columbia.",None,"['to be a scientist', 'to go to the market', 'to see the world', 'to have a good time', 'to learn more', 'to find out more about it', 'satisfied', 'responsible', 'personx gets into trouble', 'personx has less space', 'curious', 'unintelligent']"
526512,heavy cross,None,EN,"Prospects of this nature lighten the heavy cross of any present evil, and refresh us under the worst and lowest circumstances of mortality.","Prospects of this nature lighten the weighty cross of any present evil, and refresh us under the worst and lowest circumstances of mortality.",None,"Prospects of this nature lighten the burden of any present evil, and refresh us under the worst and lowest circumstances of mortality.","Prospects of this nature lighten the weighty cross of any present evil, and refresh us under the worst and lowest circumstances of mortality.",None,They extinguish in us both the fear and envy of human grandeur.,"['to be a good person', 'to go to the doctor', 'to be a good citizen', 'to see the world', 'to make a difference', 'to learn more', 'happy', 'lucky', 'becomes a better person', 'becomes more peaceful', 'helpful', 'unlucky']"
1186908,role model,None,EN,The harmoniously balanced life of the great householder-guru became the silent role model of thousands of questioning hearts.,The harmoniously balanced life of the great householder-guru became the silent function example of thousands of questioning hearts.,None,The harmoniously balanced life of the great householder-guru became the silent inspiration of thousands of questioning hearts.,The harmoniously balanced life of the great householder-guru became the silent function example of thousands of questioning hearts.,None,"Earning only a modest salary, thrifty, unostentatious, accessible to all, the master carried on naturally and happily in the path of worldly life.","['to know the truth', 'to learn how to do something', 'to be the best', 'to be loved', 'to be heard', 'to show off', 'happy', 'like a good person', 'becomes famous', 'learns something new', 'lucky', 'self - confident']"
358041,blue blood,None,EN,"""I, too, am of a noble house,"" he asserted, proudly; and indeed this was true, for he could claim descent from people of very pretty genealogy.","""I, too, am of a blue blood house,"" he asserted, proudly; and indeed this was true, for he could claim descent from people of very pretty genealogy.",1,empty,empty,"Then I saw Dante raise his head, and his eyes flashed and his cheeks flushed.","""I, too, am of a noble house,"" he insisted.","['to be born', 'to have a good name', 'to be a good citizen', 'to be a good person', 'to be a good citizen', 'to make a good impression', 'happy', 'like a king', 'becomes rich', 'personx is applauded', 'capable', 'a noble']"
581754,melting pot,None,EN,"In the boxes, men about town, some artistes, some girls, good second-raters; and behind us, the strangest melting pot in Paris.","In the boxes, men about town, some artistes, some girls, good second-raters; and behind us, the strangest unfrozen pot in Paris.",None,"In the boxes, men about town, some artistes, some girls, good second-raters; and behind us, the strangest mixture in Paris.","In the boxes, men about town, some artistes, some girls, good second-raters; and behind us, the strangest unfrozen pot in Paris.","Said Forestier to him: ""Look at the stalls; nothing but middle-class folk with their wives and children, good noodlepates who come to see the show.","There is something of everything, of every profession, and every caste; but blackguardism predominates.","['to find a box', 'to buy a box', 'to have fun', 'to get away', 'to have fun', 'to go to the party', 'happy', 'lucky', 'makes money', 'personx gets dirty', 'creepy', 'unintelligent']"
92792,blue blood,None,EN,"If they had not the spirit of martyrdom, they had the spirit of self-devotion to a blue blood cause.","If they had not the spirit of martyrdom, they had the spirit of self-devotion to a azure lifeblood cause.",None,"If they had not the spirit of martyrdom, they had the spirit of self-devotion to a noble cause.","If they had not the spirit of martyrdom, they had the spirit of self-devotion to a azure lifeblood cause.","It burned in every speech they made, and in every conversation in which they took part.","They saw clearly enough the sacrifices they would be required to make, and the calamities which would overwhelm the land.","['go to church', 'to not be a good person', 'to be a hero', 'to help others', 'to be a hero', 'to go to the hospital', 'happy', 'saddened', 'goes to jail', 'smiles', 'evil', 'determined']"
175173,blue blood,None,EN,"It was a fair picture, and no eye could rest on a goodlier couple than the tall lithe young man, and the noble maiden.","It was a fair picture, and no eye could rest on a goodlier couple than the tall lithe young man, and the blue blood maiden.",1,empty,empty,None,None,"['to go to the fair', 'to buy a ticket', 'to show off', 'to show off his beauty', 'to have a good time', 'to be a good man', 'happy', 'content', 'smiles', 'goes to court', 'happy', 'a man']"
450815,grandfather clock,None,EN,"And, returning to the room below, she lifted her hands again in astonishment as she saw by the clock that it was five.","And, returning to the room below, she lifted her hands again in astonishment as she saw by the grandfather clock that it was five.",1,empty,empty,"Well, I mustn't stay here no longer, though it's jist as I expected.""","""I guess John'll have to git his own fodder to-night, or go without.","['to open the door', 'to wake up', 'to know the time', 'to see what time it was', 'to go to bed', 'to leave', 'happy', 'loved', 'looks down', 'personx is shocked', 'lucky', 'worried']"
641516,front runner,None,EN,"It was the front runner residence of the Emperor Akbar, who enclosed and fortified it.","It was the forepart runner residence of the Emperor Akbar, who enclosed and fortified it.",None,"It was the favourite residence of the Emperor Akbar, who enclosed and fortified it.","It was the forepart runner residence of the Emperor Akbar, who enclosed and fortified it.","FATEHPUR SIKRI, a town of India, district of Agra, United Provinces.",It now chiefly consists of a vast expanse of magnificent ruins enclosed by a high stone wall some 5 miles in circuit.,"['to enter the building', 'to drive to the place', 'to win the race', 'to have a good time', 'to win the race', 'to run', 'accomplished', 'like a good leader', 'sweats', 'becomes famous', 'capable', 'loyal']"
1160960,blue blood,None,EN,"Tell the blue blood Hugo de Lacy, that, next to my gratitude to Heaven, it is due to him, and to his brave companions in arms.","Tell the azure lifeblood Hugo de Lacy, that, next to my gratitude to Heaven, it is due to him, and to his brave companions in arms.",None,"Tell the noble Hugo de Lacy, that, next to my gratitude to Heaven, it is due to him, and to his brave companions in arms.","Tell the azure lifeblood Hugo de Lacy, that, next to my gratitude to Heaven, it is due to him, and to his brave companions in arms.","""Shall I not,"" she said, ""go to render my thanks to my deliverer, since he cannot come hither to receive them?",None,"['to be a hero', 'to go to the party', 'to be a hero', 'to be saved', 'to thank God', 'to have a good life', 'proud', 'good', 'personx is thanked', 'personx gets a medal', 'lucky', 'a hero']"
1056185,elbow room,None,EN,"At the end of this time the gas occupied a space nearly as before the experiment, and a very minute portion of the charcoal had been consumed.","At the end of this time the gas occupied a elbow room nearly as before the experiment, and a very minute portion of the charcoal had been consumed.",1,empty,empty,"The sun being very bright, I kept the charcoal in the focus of a small lens for near a quarter of an hour.",None,"['to go to the gas station', 'to start the fire', 'to eat', 'to clean up the mess', 'to take a break', 'to eat the charcoal', 'accomplished', 'stupid', 'personx gets burned', 'eats', 'responsible', 'lazy']"
867066,memory lane,None,EN,The present lives; the memory lane is at rest.,The present lives; the retention lane is at rest.,None,The present lives; the past is at rest.,The present lives; the retention lane is at rest.,"Therefore am I, to myself, supreme.","A grey veil spreads itself before me, shutting out from my view the years of mortal life through which I have yet to pass.","['to remember', 'to remember something', 'to remember', 'to go to sleep', 'to remember', 'to go to bed', 'happy', 'free', 'personx gets tired', 'person x sleeps', 'lucky', 'content']"
918377,fair play,None,EN,"The Captain knew the integrity of Manuel, and not only believed his statement, but saw the positive proofs to confirm them.","The Captain knew the fair play of Manuel, and not only believed his statement, but saw the positive proofs to confirm them.",1,empty,empty,THE appearance of things at the jail was forlorn in the extreme.,None,"['to know the truth', 'to listen to the truth', 'to prove his point', 'to be the best', 'to prove his point', 'to prove the truth', 'satisfied', 'like a good man', 'thinks', 'personx gets caught', 'faithful', 'curious']"
1117486,melting pot,None,EN,"Beginning with the head, the men stain their woolly hair of a dusty red by a melting pot of which ashes form the chief part.","Beginning with the head, the men stain their woolly hair of a dusty red by a unfrozen pot of which ashes form the chief part.",None,"Beginning with the head, the men stain their woolly hair of a dusty red by a mixture of which ashes form the chief part.","Beginning with the head, the men stain their woolly hair of a dusty red by a unfrozen pot of which ashes form the chief part.",Their ornaments really seem to serve no other purpose but to disfigure the wearers as much as possible.,None,"['to make a mistake', 'to go to the fire', 'to make a mess', 'to be the best', 'to clean up the mess', 'to find a way out', 'satisfied', 'silly', 'gets dirty', 'personx gets a rash', 'reckless', 'determined']"
1094039,heavy cross,None,EN,"The great masses were restive beneath the burden thrown upon them, and that burden was increasing with each passing day.","The great masses were restive beneath the heavy cross thrown upon them, and that heavy cross was increasing with each passing day.",1,empty,empty,Not a few felt that it was coming very soon.,It did seem that the time was ripe for a general uprising in Spain.,"['to work hard', 'to go to the beach', 'to be a better person', 'to get rid of the burden', 'to take a break', 'to find a new job', 'satisfied', 'saddened', 'sweats', 'personx is tired', 'unlucky', 'saddened']"
357746,blue blood,None,EN,"A nod or a word, from such a king, can consign the greatest blue blood to hopeless impotence.","A nod or a word, from such a king, can consign the greatest azure lifeblood to hopeless impotence.",None,"A nod or a word, from such a king, can consign the greatest noble to hopeless impotence.","A nod or a word, from such a king, can consign the greatest azure lifeblood to hopeless impotence.",None,And he can do this from the mighty and mysterious force of ideas alone.,"['to be a king', 'to have a good time', 'to be a king', 'to be a bad person', 'to make a mistake', 'to be a good king', 'proud', 'defeated', 'goes to jail', 'personx is arrested', 'stupid', 'lucky']"
893822,small fry,None,EN,"Raised Macedon from an small fry State to the mistress of Greece, and made possible the conquests of his son Alexander by his organization.","Raised Macedon from an little fry State to the mistress of Greece, and made possible the conquests of his son Alexander by his organization.",None,"Raised Macedon from an insignificant State to the mistress of Greece, and made possible the conquests of his son Alexander by his organization.","Raised Macedon from an little fry State to the mistress of Greece, and made possible the conquests of his son Alexander by his organization.",The chryselephantine statue of Zeus at Olympia was his work.,"Used diplomacy as much as arms to effect his ends, and systematically bribed persons in the states opposed to him, especially in Athens.","['to work hard', 'to go to the city', 'to succeed', 'to rule', 'to be successful', 'to become a successful businessman', 'happy', 'like a king', 'becomes rich', 'personx gets a job', 'capable', 'a man of action']"
544452,head hunter,None,EN,"Sometimes they succeed, and then the head hunter suffers terrible wounds, if not death, from the horns of the enraged animal.","Sometimes they succeed, and then the brain hunter suffers terrible wounds, if not death, from the horns of the enraged animal.",None,"Sometimes they succeed, and then the hunter suffers terrible wounds, if not death, from the horns of the enraged animal.","Sometimes they succeed, and then the brain hunter suffers terrible wounds, if not death, from the horns of the enraged animal.","Rising for a moment on their hind feet, they dash furiously at the hunters, butting at them, and attempting to upset horse and man.","Five or six bulls were killed in the attack, and the rest scattered widely over the prairie.","['to be a hunter', 'to see a horn', 'to be the best', 'to be a better person', 'to be successful', 'to be a good person', 'happy', 'like a winner', 'goes to jail', 'personx gets a new job', 'angry', 'annoyed']"
786194,front runner,None,EN,"An' Joan, having finished her out-door evening work, made a mullet-and-parsley pie, as that was a front runner supper dish.","An' Joan, having finished her out-door evening work, made a mullet-and-parsley pie, as that was a forepart runner supper dish.",None,"An' Joan, having finished her out-door evening work, made a mullet-and-parsley pie, as that was a favourite supper dish.","An' Joan, having finished her out-door evening work, made a mullet-and-parsley pie, as that was a forepart runner supper dish.","At that time, and long after, almost every cotter kept a cow, which found sufficient pasture in green lanes, and commons.",None,"['to make a recipe', 'go to the restaurant', 'to eat', 'to satisfy his hunger', 'to enjoy', 'to take a break', 'happy', 'fulfilled', 'eats', 'eats food', 'hungry', 'satiated']"
229764,melting pot,None,EN,"Paraffin, also known as kerosene and mineral oil, is a melting pot of saturated hydrocarbons obtained by the distillation of shale.","Paraffin, also known as kerosene and mineral oil, is a unfrozen pot of saturated hydrocarbons obtained by the distillation of shale.",None,"Paraffin, also known as kerosene and mineral oil, is a mixture of saturated hydrocarbons obtained by the distillation of shale.","Paraffin, also known as kerosene and mineral oil, is a unfrozen pot of saturated hydrocarbons obtained by the distillation of shale.","It gives rise to coldness, shallow respiration, syncope, and insensibility, but seldom death.","By the retailer the terms 'petroleum' and 'paraffin' oil are used indifferently, and each is sold for the other without prejudice.","['to make a mistake', 'to go to the market', 'to make a difference', 'to be a good citizen', 'to make money', 'to go to the store', 'satisfied', 'full', 'personx gets dirty', 'becomes dirty', 'greedy', 'unintelligent']"
1127439,melting pot,None,EN,"Indeed, their intercourse formed a singular mixture of confidence and constraint.","Indeed, their intercourse formed a singular melting pot of confidence and constraint.",1,empty,empty,None,None,"['to be confident', 'to find out what they want', 'to succeed', 'to be right', 'to be successful', 'to make a decision', 'proud', 'like a good man', 'becomes confident', 'personx gets a promotion', 'committed', 'reliable']"
807525,elbow room,None,EN,"It was a large space of several acres, and there may have been from a dozen to twenty floors, without any partition between them.","It was a large elbow room of several acres, and there may have been from a dozen to twenty floors, without any partition between them.",1,empty,empty,"There was near this place, which was on the edge of the plain, a most noble threshing-floor.",None,"['to go to the store', 'to find a place to park', 'to have space', 'to make a difference', 'to take a break', 'to find a way out', 'content', 'determined', 'personx gets dirty', 'personx is alone', 'curious', 'explorer']"
381942,head hunter,None,EN,"But I must return to the head hunter standing on the beach, surrounded by a crowd of savages, exercising his patience and brains.","But I must return to the brain hunter standing on the beach, surrounded by a crowd of savages, exercising his patience and brains.",None,"But I must return to the recruiter standing on the beach, surrounded by a crowd of savages, exercising his patience and brains.","But I must return to the brain hunter standing on the beach, surrounded by a crowd of savages, exercising his patience and brains.",None,"Perhaps at the end of an hour or so eight or ten men are recruited, and told to either get into one of the boats or go off to the ship in canoes.","['to go to the beach', 'to be in a hurry', 'to win the game', 'to get away', 'to go home', 'to find a way out', 'accomplished', 'successful', 'personx sweats from nervousness', 'wins the game', 'lucky', 'intoxicated']"
969356,honey trap,None,EN,"The honey trap of the mountains, the rivers, the silent barren places, had somehow departed from before him.","The sweetener trap of the mountains, the rivers, the silent barren places, had somehow departed from before him.",None,"The lure of the mountains, the rivers, the silent barren places, had somehow departed from before him.","The sweetener trap of the mountains, the rivers, the silent barren places, had somehow departed from before him.",His rifle and its ammunition lay unpacked in an ordinary traveling box.,"In this mood he met the Captain of His Majesty's gunboat, the _Cleavewaive_.","['to go to the mountains', 'go to the mountain', 'to escape', 'to be left alone', 'to find a way out', 'to go to the beach', 'lost', 'sad', 'personx gets lost', 'becomes lost', 'lost', 'needy']"
450115,melting pot,None,EN,"The fermenters, huge tubs holding the mixture of meal, malt and water making ready for the still, received first attention.","The fermenters, huge tubs holding the melting pot of meal, malt and water making ready for the still, received first attention.",1,empty,empty,"So, with due watchfulness of the two prisoners, the men set about that task of destruction which their duty required.","Since York had fallen before these, the men rolled him roughly to one side, without arousing him to any sign of consciousness.","['to go to the kitchen', 'to make a mistake', 'to eat', 'to cook', 'to eat', 'to taste the meal', 'happy', 'satiated', 'eats', 'personx cooks', 'hungry', 'determined']"
324812,small fry,None,EN,"The tail, small fry as it may seem, makes a soup of a very fine flavor.","The tail, little fry as it may seem, makes a soup of a very fine flavor.",None,"The tail, insignificant as it may seem, makes a soup of a very fine flavor.","The tail, little fry as it may seem, makes a soup of a very fine flavor.",The thick and the thin flank are both admirable pieces for salting and boiling.,"Hotel-keepers have a trick of seasoning brown soup or rather beef-tea, with a few joints of tail, and passing it off for genuine ox-tail soup.","['to make a soup', 'go to the restaurant', 'to taste it', 'to taste the flavor', 'to taste it', 'to eat it', 'satisfied', 'lucky', 'eats', 'eats the soup', 'hungry', 'stuffed']"
748474,grandfather clock,None,EN,"And the country folk have a saying that the Lea Stone, as it is called, turns itself around 'every time the grandfather clock strikes thirteen.'","And the country folk have a saying that the Lea Stone, as it is called, turns itself around 'every time the granddad clock strikes thirteen.'",None,"And the country folk have a saying that the Lea Stone, as it is called, turns itself around 'every time the clock strikes thirteen.'","And the country folk have a saying that the Lea Stone, as it is called, turns itself around 'every time the granddad clock strikes thirteen.'","But that was afore my time, like, and behappen there's never a one now as can tell the rights on it.'","With the shadows lengthening around we draw near to Bishop's Castle, a place half town, half village, seated upon a southward sloping hill.","['to be a farmer', 'to go to the store', 'to be heard', 'to be a better person', 'to be heard', 'to make a change', 'happy', 'lucky', 'becomes famous', 'personx gets a new hobby', 'happy', 'dumb']"
1038129,honey trap,None,EN,It might have been thrown out as a lure to provoke information relative to the present employment of those veteran bands.,It might have been thrown out as a honey trap to provoke information relative to the present employment of those veteran bands.,1,empty,empty,None,"Moreover, I shrewdly suspected many of the gentlemen were actually spies.","['to find out about it', 'to hear about the situation', 'to make a difference', 'to get away', 'to find a new job', 'to find out more about the band', 'happy', 'silly', 'personx gets a new job', 'personx gets into trouble', 'curious', 'annoying']"
97703,elbow room,None,EN,"The remaining wall space of the room was given over to oak cabinets, evidently a storage place for the less important legation papers.","The remaining wall elbow room of the room was given over to oak cabinets, evidently a storage place for the less important legation papers.",1,empty,empty,"The safe, a formidable looking receptacle of black enameled steel, stood at their left, closed and locked.","""Has any one besides yourself been in this room to-day?""","['to go to the store', 'to make a plan', 'to keep things organized', 'to make sure the room is clean', 'to take a break', 'to go to the storage room', 'accomplished', 'lucky', 'personx gets dirty', 'personx gets a job', 'responsible', 'careless']"
800712,melting pot,None,EN,The other languages of the Balkans show a similar melting pot of heterogeneous influences.,The other languages of the Balkans show a similar unfrozen pot of heterogeneous influences.,None,The other languages of the Balkans show a similar mixture of heterogeneous influences.,The other languages of the Balkans show a similar unfrozen pot of heterogeneous influences.,"In the Hungarian language there is a large proportion of Slavonic, then of Rumanian and German elements.",None,"['to learn about it', 'to go to the language', 'to learn more', 'to have a different culture', 'to learn more', 'to learn more about the different languages', 'happy', 'determined', 'becomes more diverse', 'personx gets confused', 'stupid', 'needy']"
29878,memory lane,None,EN,Only Mary seemed real and not remote--a link connecting that old and shadowy memory lane with the vivid living present.,Only Mary seemed real and not remote--a link connecting that old and shadowy retention lane with the vivid living present.,None,Only Mary seemed real and not remote--a link connecting that old and shadowy past with the vivid living present.,Only Mary seemed real and not remote--a link connecting that old and shadowy retention lane with the vivid living present.,None,None,"['to know about it', 'to think of something to remember', 'to remember', 'to remember the past', 'to remember', 'to see the past', 'happy', 'satiated', 'smiles', 'personx gets lost', 'curious', 'lost']"
