ID,MWE1,MWE2,Language,sentence_1,sentence_2,sentence_previous,sentence_next,sim,alternative_1,alternative_2
1089298,cutting edge,None,EN,"to make a mistake,to think of a good idea,to make a difference,to make a point,to make a difference,to show off their skills,satisfied,content,gets rejected,personx cries,stupid,dissatisfied[SEP]The cutting edge of them unfortunately had not readers enough to give satisfactory publicity to the ideas one desired to put forth.","to make a mistake,to think of a good idea,to make a difference,to make a point,to make a difference,to show off their skills,satisfied,content,gets rejected,personx cries,stupid,dissatisfied[SEP]The slicing edge of them unfortunately had not readers enough to give satisfactory publicity to the ideas one desired to put forth.",,,None,"to make a mistake,to think of a good idea,to make a difference,to make a point,to make a difference,to show off their skills,satisfied,content,gets rejected,personx cries,stupid,dissatisfied[SEP]The most advanced of them unfortunately had not readers enough to give satisfactory publicity to the ideas one desired to put forth.","to make a mistake,to think of a good idea,to make a difference,to make a point,to make a difference,to show off their skills,satisfied,content,gets rejected,personx cries,stupid,dissatisfied[SEP]The slicing edge of them unfortunately had not readers enough to give satisfactory publicity to the ideas one desired to put forth."
533113,head hunter,None,EN,"to spot the same thing,to see something,to find the same thing,to show off,to see the same thing,to find out where it is,satisfied,like they were seeing something,smiles,looks down,curious,shocked[SEP]This time the hunter pointed exactly opposite, where almost precisely the same thing was visible.","to spot the same thing,to see something,to find the same thing,to show off,to see the same thing,to find out where it is,satisfied,like they were seeing something,smiles,looks down,curious,shocked[SEP]This time the head hunter pointed exactly opposite, where almost precisely the same thing was visible.","""Now, I s'pose you understand how it all is?","""Now take a peep off there.""",1,empty,empty
903722,heavy cross,None,EN,"to commit a crime,to do something bad,to be forgiven,to not be caught,to be forgiven,to make a difference,defeated,sorry,goes to jail,personx is shunned,guilty,responsible[SEP]When they have committed a crime they are crushed under the heavy cross of repentance.","to commit a crime,to do something bad,to be forgiven,to not be caught,to be forgiven,to make a difference,defeated,sorry,goes to jail,personx is shunned,guilty,responsible[SEP]When they have committed a crime they are crushed under the weighty cross of repentance.",,"The major part of men cannot support the weight of liberty, and fear it more than death.",None,"to commit a crime,to do something bad,to be forgiven,to not be caught,to be forgiven,to make a difference,defeated,sorry,goes to jail,personx is shunned,guilty,responsible[SEP]When they have committed a crime they are crushed under the burden of repentance.","to commit a crime,to do something bad,to be forgiven,to not be caught,to be forgiven,to make a difference,defeated,sorry,goes to jail,personx is shunned,guilty,responsible[SEP]When they have committed a crime they are crushed under the weighty cross of repentance."
572401,baby blues,None,EN,"to open his eyes,to look at his face,to be loved,to get away from the cold,to take a break,to find something to do,happy,like a good friend,smiles,goes to sleep,cold,bored[SEP]Gavin French drew a deep breath and his cold blue eyes for a moment held a curiously soft expression.","to open his eyes,to look at his face,to be loved,to get away from the cold,to take a break,to find something to do,happy,like a good friend,smiles,goes to sleep,cold,bored[SEP]Gavin French drew a deep breath and his cold baby blues for a moment held a curiously soft expression.","""Mackay,"" he said, ""it probably sounds queer, but I have always liked you.","But I am glad you do not think me a coward.""",1,empty,empty
225263,elbow room,None,EN,"to make a decision,to find out about it,to make a difference,to be successful,to make a difference,to show off their new religion,accomplished,like a good citizen,becomes a citizen,goes to court,religious,selfish[SEP]To protect the new religion it successfully asserted its municipal freedom almost to the point of independence.","to make a decision,to find out about it,to make a difference,to be successful,to make a difference,to show off their new religion,accomplished,like a good citizen,becomes a citizen,goes to court,religious,selfish[SEP]To protect the new religion it successfully asserted its municipal elbow room almost to the point of independence.",,"Though coming late to the support of the Reformation, its conversion was thorough and lasting.",1,empty,empty
387768,grandfather clock,None,EN,"to hear the clock,to listen to the preacher,to learn more,to know the time,to go to bed,to leave the house,satisfied,stressed,goes to sleep,personx regrets their decision,frustrated,dissatisfied[SEP]He had time to think again; and a disagreeable consideration was forced upon him, as he heard the grandfather clock of the Baptist Church strike one.","to hear the clock,to listen to the preacher,to learn more,to know the time,to go to bed,to leave the house,satisfied,stressed,goes to sleep,personx regrets their decision,frustrated,dissatisfied[SEP]He had time to think again; and a disagreeable consideration was forced upon him, as he heard the granddad clock of the Baptist Church strike one.",He was in Camden harbor; he must come to anchor; and the next morning everybody would wonder what boat the stranger was.,,None,"to hear the clock,to listen to the preacher,to learn more,to know the time,to go to bed,to leave the house,satisfied,stressed,goes to sleep,personx regrets their decision,frustrated,dissatisfied[SEP]He had time to think again; and a disagreeable consideration was forced upon him, as he heard the clock of the Baptist Church strike one.","to hear the clock,to listen to the preacher,to learn more,to know the time,to go to bed,to leave the house,satisfied,stressed,goes to sleep,personx regrets their decision,frustrated,dissatisfied[SEP]He had time to think again; and a disagreeable consideration was forced upon him, as he heard the granddad clock of the Baptist Church strike one."
944936,heavy cross,None,EN,"to work hard,to go to the barber,to be successful,to win,to be successful,to be a leader,proud,successful,personx is admired,wins the game,athletic,committed[SEP]The bearers of this heavy cross are generally men of great ability.","to work hard,to go to the barber,to be successful,to win,to be successful,to be a leader,proud,successful,personx is admired,wins the game,athletic,committed[SEP]The bearers of this weighty cross are generally men of great ability.",But no Chief Secretary could possibly take under his wing yet another department with the entirely new and important functions now to be discharged.,,None,"to work hard,to go to the barber,to be successful,to win,to be successful,to be a leader,proud,successful,personx is admired,wins the game,athletic,committed[SEP]The bearers of this burden are generally men of great ability.","to work hard,to go to the barber,to be successful,to win,to be successful,to be a leader,proud,successful,personx is admired,wins the game,athletic,committed[SEP]The bearers of this weighty cross are generally men of great ability."
820965,heavy cross,None,EN,"to go to the market,to have money,to make money,to win,to make money,to have a good time,accomplished,like a winner,personx loses money,goes broke,capable,open[SEP]The glass trade, after the removal of the burden imposed upon it, seemed to offer a fair opening for money seeking investment.","to go to the market,to have money,to make money,to win,to make money,to have a good time,accomplished,like a winner,personx loses money,goes broke,capable,open[SEP]The glass trade, after the removal of the heavy cross imposed upon it, seemed to offer a fair opening for money seeking investment.",The demand for glass was so great that the manufacturers were in despair.,"In 1846 and 1847, following the repeal of the duty, the number had increased to twenty-four.",1,empty,empty
662291,front runner,None,EN,"to be a parent,to have a child,to be the best,to be happy,to be loved,to be a good parent,pleased,like a good son,smiles,personx gets a new pet,lucky,a good listener[SEP]A parrot who had been reared with kindness, selected as his prime favourite the youngest child in the family.","to be a parent,to have a child,to be the best,to be happy,to be loved,to be a good parent,pleased,like a good son,smiles,personx gets a new pet,lucky,a good listener[SEP]A parrot who had been reared with kindness, selected as his prime front runner the youngest child in the family.",By every means in his power he expressed this preference.,"Now and then, there seems some variation from this rule.",1,empty,empty
530195,brass ring,None,EN,"to go to the party,to find a place to go,to be the best,to show off,to celebrate,to go to the party,happy,successful,personx wins the game,personx sweats,lucky,curious[SEP]For already the clubs had discounted the chances of one favorite or another for winning the marital prize of the year.","to go to the party,to find a place to go,to be the best,to show off,to celebrate,to go to the party,happy,successful,personx wins the game,personx sweats,lucky,curious[SEP]For already the clubs had discounted the chances of one favorite or another for winning the marital brass ring of the year.",Foremost among those who had hastened to welcome Blanche back to her new home was Miss Rose Wood.,"con._, when bidden to the event promising so much in present feast, and which might possibly so tend to prevent future famine.",1,empty,empty
739006,glass ceiling,None,EN,"to be a scientist,to go to the market,to see the world,to have a good time,to learn more,to find out more about it,satisfied,responsible,personx gets into trouble,personx has less space,curious,unintelligent[SEP]It seems that ecological difference rather than the glass ceiling formed by the higher elevations is responsible for the limited expansion of range.","to be a scientist,to go to the market,to see the world,to have a good time,to learn more,to find out more about it,satisfied,responsible,personx gets into trouble,personx has less space,curious,unintelligent[SEP]It seems that ecological difference rather than the mirror ceiling formed by the higher elevations is responsible for the limited expansion of range.",,"trinotatus_ has expanded its range only slightly, reaching as far as southwestern British Columbia.",None,"to be a scientist,to go to the market,to see the world,to have a good time,to learn more,to find out more about it,satisfied,responsible,personx gets into trouble,personx has less space,curious,unintelligent[SEP]It seems that ecological difference rather than the barrier formed by the higher elevations is responsible for the limited expansion of range.","to be a scientist,to go to the market,to see the world,to have a good time,to learn more,to find out more about it,satisfied,responsible,personx gets into trouble,personx has less space,curious,unintelligent[SEP]It seems that ecological difference rather than the mirror ceiling formed by the higher elevations is responsible for the limited expansion of range."
526512,heavy cross,None,EN,"to be a good person,to go to the doctor,to be a good citizen,to see the world,to make a difference,to learn more,happy,lucky,becomes a better person,becomes more peaceful,helpful,unlucky[SEP]Prospects of this nature lighten the heavy cross of any present evil, and refresh us under the worst and lowest circumstances of mortality.","to be a good person,to go to the doctor,to be a good citizen,to see the world,to make a difference,to learn more,happy,lucky,becomes a better person,becomes more peaceful,helpful,unlucky[SEP]Prospects of this nature lighten the weighty cross of any present evil, and refresh us under the worst and lowest circumstances of mortality.",They extinguish in us both the fear and envy of human grandeur.,,None,"to be a good person,to go to the doctor,to be a good citizen,to see the world,to make a difference,to learn more,happy,lucky,becomes a better person,becomes more peaceful,helpful,unlucky[SEP]Prospects of this nature lighten the burden of any present evil, and refresh us under the worst and lowest circumstances of mortality.","to be a good person,to go to the doctor,to be a good citizen,to see the world,to make a difference,to learn more,happy,lucky,becomes a better person,becomes more peaceful,helpful,unlucky[SEP]Prospects of this nature lighten the weighty cross of any present evil, and refresh us under the worst and lowest circumstances of mortality."
1186908,role model,None,EN,"to know the truth,to learn how to do something,to be the best,to be loved,to be heard,to show off,happy,like a good person,becomes famous,learns something new,lucky,self - confident[SEP]The harmoniously balanced life of the great householder-guru became the silent role model of thousands of questioning hearts.","to know the truth,to learn how to do something,to be the best,to be loved,to be heard,to show off,happy,like a good person,becomes famous,learns something new,lucky,self - confident[SEP]The harmoniously balanced life of the great householder-guru became the silent function example of thousands of questioning hearts.","Earning only a modest salary, thrifty, unostentatious, accessible to all, the master carried on naturally and happily in the path of worldly life.",,None,"to know the truth,to learn how to do something,to be the best,to be loved,to be heard,to show off,happy,like a good person,becomes famous,learns something new,lucky,self - confident[SEP]The harmoniously balanced life of the great householder-guru became the silent inspiration of thousands of questioning hearts.","to know the truth,to learn how to do something,to be the best,to be loved,to be heard,to show off,happy,like a good person,becomes famous,learns something new,lucky,self - confident[SEP]The harmoniously balanced life of the great householder-guru became the silent function example of thousands of questioning hearts."
358041,blue blood,None,EN,"to be born,to have a good name,to be a good citizen,to be a good person,to be a good citizen,to make a good impression,happy,like a king,becomes rich,personx is applauded,capable,a noble[SEP]""I, too, am of a noble house,"" he asserted, proudly; and indeed this was true, for he could claim descent from people of very pretty genealogy.","to be born,to have a good name,to be a good citizen,to be a good person,to be a good citizen,to make a good impression,happy,like a king,becomes rich,personx is applauded,capable,a noble[SEP]""I, too, am of a blue blood house,"" he asserted, proudly; and indeed this was true, for he could claim descent from people of very pretty genealogy.","""I, too, am of a noble house,"" he insisted.","Then I saw Dante raise his head, and his eyes flashed and his cheeks flushed.",1,empty,empty
581754,melting pot,None,EN,"to find a box,to buy a box,to have fun,to get away,to have fun,to go to the party,happy,lucky,makes money,personx gets dirty,creepy,unintelligent[SEP]In the boxes, men about town, some artistes, some girls, good second-raters; and behind us, the strangest melting pot in Paris.","to find a box,to buy a box,to have fun,to get away,to have fun,to go to the party,happy,lucky,makes money,personx gets dirty,creepy,unintelligent[SEP]In the boxes, men about town, some artistes, some girls, good second-raters; and behind us, the strangest unfrozen pot in Paris.","There is something of everything, of every profession, and every caste; but blackguardism predominates.","Said Forestier to him: ""Look at the stalls; nothing but middle-class folk with their wives and children, good noodlepates who come to see the show.",None,"to find a box,to buy a box,to have fun,to get away,to have fun,to go to the party,happy,lucky,makes money,personx gets dirty,creepy,unintelligent[SEP]In the boxes, men about town, some artistes, some girls, good second-raters; and behind us, the strangest mixture in Paris.","to find a box,to buy a box,to have fun,to get away,to have fun,to go to the party,happy,lucky,makes money,personx gets dirty,creepy,unintelligent[SEP]In the boxes, men about town, some artistes, some girls, good second-raters; and behind us, the strangest unfrozen pot in Paris."
92792,blue blood,None,EN,"go to church,to not be a good person,to be a hero,to help others,to be a hero,to go to the hospital,happy,saddened,goes to jail,smiles,evil,determined[SEP]If they had not the spirit of martyrdom, they had the spirit of self-devotion to a blue blood cause.","go to church,to not be a good person,to be a hero,to help others,to be a hero,to go to the hospital,happy,saddened,goes to jail,smiles,evil,determined[SEP]If they had not the spirit of martyrdom, they had the spirit of self-devotion to a azure lifeblood cause.","They saw clearly enough the sacrifices they would be required to make, and the calamities which would overwhelm the land.","It burned in every speech they made, and in every conversation in which they took part.",None,"go to church,to not be a good person,to be a hero,to help others,to be a hero,to go to the hospital,happy,saddened,goes to jail,smiles,evil,determined[SEP]If they had not the spirit of martyrdom, they had the spirit of self-devotion to a noble cause.","go to church,to not be a good person,to be a hero,to help others,to be a hero,to go to the hospital,happy,saddened,goes to jail,smiles,evil,determined[SEP]If they had not the spirit of martyrdom, they had the spirit of self-devotion to a azure lifeblood cause."
175173,blue blood,None,EN,"to go to the fair,to buy a ticket,to show off,to show off his beauty,to have a good time,to be a good man,happy,content,smiles,goes to court,happy,a man[SEP]It was a fair picture, and no eye could rest on a goodlier couple than the tall lithe young man, and the noble maiden.","to go to the fair,to buy a ticket,to show off,to show off his beauty,to have a good time,to be a good man,happy,content,smiles,goes to court,happy,a man[SEP]It was a fair picture, and no eye could rest on a goodlier couple than the tall lithe young man, and the blue blood maiden.",,,1,empty,empty
450815,grandfather clock,None,EN,"to open the door,to wake up,to know the time,to see what time it was,to go to bed,to leave,happy,loved,looks down,personx is shocked,lucky,worried[SEP]And, returning to the room below, she lifted her hands again in astonishment as she saw by the clock that it was five.","to open the door,to wake up,to know the time,to see what time it was,to go to bed,to leave,happy,loved,looks down,personx is shocked,lucky,worried[SEP]And, returning to the room below, she lifted her hands again in astonishment as she saw by the grandfather clock that it was five.","""I guess John'll have to git his own fodder to-night, or go without.","Well, I mustn't stay here no longer, though it's jist as I expected.""",1,empty,empty
641516,front runner,None,EN,"to enter the building,to drive to the place,to win the race,to have a good time,to win the race,to run,accomplished,like a good leader,sweats,becomes famous,capable,loyal[SEP]It was the front runner residence of the Emperor Akbar, who enclosed and fortified it.","to enter the building,to drive to the place,to win the race,to have a good time,to win the race,to run,accomplished,like a good leader,sweats,becomes famous,capable,loyal[SEP]It was the forepart runner residence of the Emperor Akbar, who enclosed and fortified it.",It now chiefly consists of a vast expanse of magnificent ruins enclosed by a high stone wall some 5 miles in circuit.,"FATEHPUR SIKRI, a town of India, district of Agra, United Provinces.",None,"to enter the building,to drive to the place,to win the race,to have a good time,to win the race,to run,accomplished,like a good leader,sweats,becomes famous,capable,loyal[SEP]It was the favourite residence of the Emperor Akbar, who enclosed and fortified it.","to enter the building,to drive to the place,to win the race,to have a good time,to win the race,to run,accomplished,like a good leader,sweats,becomes famous,capable,loyal[SEP]It was the forepart runner residence of the Emperor Akbar, who enclosed and fortified it."
1160960,blue blood,None,EN,"to be a hero,to go to the party,to be a hero,to be saved,to thank God,to have a good life,proud,good,personx is thanked,personx gets a medal,lucky,a hero[SEP]Tell the blue blood Hugo de Lacy, that, next to my gratitude to Heaven, it is due to him, and to his brave companions in arms.","to be a hero,to go to the party,to be a hero,to be saved,to thank God,to have a good life,proud,good,personx is thanked,personx gets a medal,lucky,a hero[SEP]Tell the azure lifeblood Hugo de Lacy, that, next to my gratitude to Heaven, it is due to him, and to his brave companions in arms.",,"""Shall I not,"" she said, ""go to render my thanks to my deliverer, since he cannot come hither to receive them?",None,"to be a hero,to go to the party,to be a hero,to be saved,to thank God,to have a good life,proud,good,personx is thanked,personx gets a medal,lucky,a hero[SEP]Tell the noble Hugo de Lacy, that, next to my gratitude to Heaven, it is due to him, and to his brave companions in arms.","to be a hero,to go to the party,to be a hero,to be saved,to thank God,to have a good life,proud,good,personx is thanked,personx gets a medal,lucky,a hero[SEP]Tell the azure lifeblood Hugo de Lacy, that, next to my gratitude to Heaven, it is due to him, and to his brave companions in arms."
1056185,elbow room,None,EN,"to go to the gas station,to start the fire,to eat,to clean up the mess,to take a break,to eat the charcoal,accomplished,stupid,personx gets burned,eats,responsible,lazy[SEP]At the end of this time the gas occupied a space nearly as before the experiment, and a very minute portion of the charcoal had been consumed.","to go to the gas station,to start the fire,to eat,to clean up the mess,to take a break,to eat the charcoal,accomplished,stupid,personx gets burned,eats,responsible,lazy[SEP]At the end of this time the gas occupied a elbow room nearly as before the experiment, and a very minute portion of the charcoal had been consumed.",,"The sun being very bright, I kept the charcoal in the focus of a small lens for near a quarter of an hour.",1,empty,empty
867066,memory lane,None,EN,"to remember,to remember something,to remember,to go to sleep,to remember,to go to bed,happy,free,personx gets tired,person x sleeps,lucky,content[SEP]The present lives; the memory lane is at rest.","to remember,to remember something,to remember,to go to sleep,to remember,to go to bed,happy,free,personx gets tired,person x sleeps,lucky,content[SEP]The present lives; the retention lane is at rest.","A grey veil spreads itself before me, shutting out from my view the years of mortal life through which I have yet to pass.","Therefore am I, to myself, supreme.",None,"to remember,to remember something,to remember,to go to sleep,to remember,to go to bed,happy,free,personx gets tired,person x sleeps,lucky,content[SEP]The present lives; the past is at rest.","to remember,to remember something,to remember,to go to sleep,to remember,to go to bed,happy,free,personx gets tired,person x sleeps,lucky,content[SEP]The present lives; the retention lane is at rest."
918377,fair play,None,EN,"to know the truth,to listen to the truth,to prove his point,to be the best,to prove his point,to prove the truth,satisfied,like a good man,thinks,personx gets caught,faithful,curious[SEP]The Captain knew the integrity of Manuel, and not only believed his statement, but saw the positive proofs to confirm them.","to know the truth,to listen to the truth,to prove his point,to be the best,to prove his point,to prove the truth,satisfied,like a good man,thinks,personx gets caught,faithful,curious[SEP]The Captain knew the fair play of Manuel, and not only believed his statement, but saw the positive proofs to confirm them.",,THE appearance of things at the jail was forlorn in the extreme.,1,empty,empty
1117486,melting pot,None,EN,"to make a mistake,to go to the fire,to make a mess,to be the best,to clean up the mess,to find a way out,satisfied,silly,gets dirty,personx gets a rash,reckless,determined[SEP]Beginning with the head, the men stain their woolly hair of a dusty red by a melting pot of which ashes form the chief part.","to make a mistake,to go to the fire,to make a mess,to be the best,to clean up the mess,to find a way out,satisfied,silly,gets dirty,personx gets a rash,reckless,determined[SEP]Beginning with the head, the men stain their woolly hair of a dusty red by a unfrozen pot of which ashes form the chief part.",,Their ornaments really seem to serve no other purpose but to disfigure the wearers as much as possible.,None,"to make a mistake,to go to the fire,to make a mess,to be the best,to clean up the mess,to find a way out,satisfied,silly,gets dirty,personx gets a rash,reckless,determined[SEP]Beginning with the head, the men stain their woolly hair of a dusty red by a mixture of which ashes form the chief part.","to make a mistake,to go to the fire,to make a mess,to be the best,to clean up the mess,to find a way out,satisfied,silly,gets dirty,personx gets a rash,reckless,determined[SEP]Beginning with the head, the men stain their woolly hair of a dusty red by a unfrozen pot of which ashes form the chief part."
1094039,heavy cross,None,EN,"to work hard,to go to the beach,to be a better person,to get rid of the burden,to take a break,to find a new job,satisfied,saddened,sweats,personx is tired,unlucky,saddened[SEP]The great masses were restive beneath the burden thrown upon them, and that burden was increasing with each passing day.","to work hard,to go to the beach,to be a better person,to get rid of the burden,to take a break,to find a new job,satisfied,saddened,sweats,personx is tired,unlucky,saddened[SEP]The great masses were restive beneath the heavy cross thrown upon them, and that heavy cross was increasing with each passing day.",It did seem that the time was ripe for a general uprising in Spain.,Not a few felt that it was coming very soon.,1,empty,empty
357746,blue blood,None,EN,"to be a king,to have a good time,to be a king,to be a bad person,to make a mistake,to be a good king,proud,defeated,goes to jail,personx is arrested,stupid,lucky[SEP]A nod or a word, from such a king, can consign the greatest blue blood to hopeless impotence.","to be a king,to have a good time,to be a king,to be a bad person,to make a mistake,to be a good king,proud,defeated,goes to jail,personx is arrested,stupid,lucky[SEP]A nod or a word, from such a king, can consign the greatest azure lifeblood to hopeless impotence.",And he can do this from the mighty and mysterious force of ideas alone.,,None,"to be a king,to have a good time,to be a king,to be a bad person,to make a mistake,to be a good king,proud,defeated,goes to jail,personx is arrested,stupid,lucky[SEP]A nod or a word, from such a king, can consign the greatest noble to hopeless impotence.","to be a king,to have a good time,to be a king,to be a bad person,to make a mistake,to be a good king,proud,defeated,goes to jail,personx is arrested,stupid,lucky[SEP]A nod or a word, from such a king, can consign the greatest azure lifeblood to hopeless impotence."
