ID,MWE1,MWE2,Language,sentence_1,sentence_2,sim,alternative_1,alternative_2,sentence_previous,sentence_next,label
552992,memory lane,None,EN,"We had stood listening one to the other for about three minutes, and the bird that flew memory lane had given the alarm to Monyosi.","We had stood listening one to the other for about three minutes, and the bird that flew retention lane had given the alarm to Monyosi.",None,"We had stood listening one to the other for about three minutes, and the bird that flew past had given the alarm to Monyosi.","We had stood listening one to the other for about three minutes, and the bird that flew retention lane had given the alarm to Monyosi.","He consoled me, however, by saying ""he should not have fired at me unless he knew that the elephants were a long way off.""",How would some of my friends compete in war singly with black men like this?,0
1095109,grandfather clock,None,EN,"He paused at the tall clock to speak an encouraging word to the boy concealed therein, then looked surprisedly about for Lucy.","He paused at the tall grandfather clock to speak an encouraging word to the boy concealed therein, then looked surprisedly about for Lucy.",1,empty,empty,"At last he consented; she opened the door leading into the hall and he passed out, thinking that Lucy was following him.","“She has gone on up to her room without waiting for me,” said he, to himself.",0
143643,blue blood,None,EN,"_Opie_: showing, as Mr. Cunningham observes, ""a noble forehead and an intellectual eye,"" with much of his country, Cornish air.","_Opie_: showing, as Mr. Cunningham observes, ""a blue blood forehead and an intellectual eye,"" with much of his country, Cornish air.",1,empty,empty,None,None,0
1089298,cutting edge,None,EN,The cutting edge of them unfortunately had not readers enough to give satisfactory publicity to the ideas one desired to put forth.,The slicing edge of them unfortunately had not readers enough to give satisfactory publicity to the ideas one desired to put forth.,None,The most advanced of them unfortunately had not readers enough to give satisfactory publicity to the ideas one desired to put forth.,The slicing edge of them unfortunately had not readers enough to give satisfactory publicity to the ideas one desired to put forth.,None,None,0
533113,head hunter,None,EN,"This time the hunter pointed exactly opposite, where almost precisely the same thing was visible.","This time the head hunter pointed exactly opposite, where almost precisely the same thing was visible.",1,empty,empty,"""Now take a peep off there.""","""Now, I s'pose you understand how it all is?",0
149193,elbow room,None,EN,"Still less did liberty predominate in States; or governments and constitutions adopt a rational organization, or recognize freedom as their basis.","Still less did liberty predominate in States; or governments and constitutions adopt a rational organization, or recognize elbow room as their basis.",1,empty,empty,In proof of this we may note that slavery did not cease immediately on the reception of Christianity.,None,0
903722,heavy cross,None,EN,When they have committed a crime they are crushed under the heavy cross of repentance.,When they have committed a crime they are crushed under the weighty cross of repentance.,None,When they have committed a crime they are crushed under the burden of repentance.,When they have committed a crime they are crushed under the weighty cross of repentance.,"The major part of men cannot support the weight of liberty, and fear it more than death.",None,0
554493,memory lane,None,EN,"He detested his master, and now here was a glorious chance of being even with the latter for many a past meanness.","He detested his master, and now here was a glorious chance of being even with the latter for many a memory lane meanness.",1,empty,empty,Tom had not the slightest intention of returning the money.,"In all good faith he had intended to make the purchase, and then depart for the seat of war.",0
572401,baby blues,None,EN,Gavin French drew a deep breath and his cold blue eyes for a moment held a curiously soft expression.,Gavin French drew a deep breath and his cold baby blues for a moment held a curiously soft expression.,1,empty,empty,"But I am glad you do not think me a coward.""","""Mackay,"" he said, ""it probably sounds queer, but I have always liked you.",0
462444,glass ceiling,None,EN,Very cautiously he lowered the mental glass ceiling and the man's thoughts impinged on his mind in bewildering confusion.,Very cautiously he lowered the mental mirror ceiling and the man's thoughts impinged on his mind in bewildering confusion.,None,Very cautiously he lowered the mental barrier and the man's thoughts impinged on his mind in bewildering confusion.,Very cautiously he lowered the mental mirror ceiling and the man's thoughts impinged on his mind in bewildering confusion.,"Moonson rose unsteadily, alarm and suspicion in his stare.","_He's not a farmer, that's sure ... must have been swimming in the creek, but those bathing trunks he's wearing are out of this world!_ _Huh!",0
225263,elbow room,None,EN,To protect the new religion it successfully asserted its municipal freedom almost to the point of independence.,To protect the new religion it successfully asserted its municipal elbow room almost to the point of independence.,1,empty,empty,"Though coming late to the support of the Reformation, its conversion was thorough and lasting.",None,0
387768,grandfather clock,None,EN,"He had time to think again; and a disagreeable consideration was forced upon him, as he heard the grandfather clock of the Baptist Church strike one.","He had time to think again; and a disagreeable consideration was forced upon him, as he heard the granddad clock of the Baptist Church strike one.",None,"He had time to think again; and a disagreeable consideration was forced upon him, as he heard the clock of the Baptist Church strike one.","He had time to think again; and a disagreeable consideration was forced upon him, as he heard the granddad clock of the Baptist Church strike one.",None,He was in Camden harbor; he must come to anchor; and the next morning everybody would wonder what boat the stranger was.,0
944936,heavy cross,None,EN,The bearers of this heavy cross are generally men of great ability.,The bearers of this weighty cross are generally men of great ability.,None,The bearers of this burden are generally men of great ability.,The bearers of this weighty cross are generally men of great ability.,None,But no Chief Secretary could possibly take under his wing yet another department with the entirely new and important functions now to be discharged.,0
820965,heavy cross,None,EN,"The glass trade, after the removal of the heavy burden imposed upon it, seemed to offer a fair opening for money seeking investment.","The glass trade, after the removal of the heavy heavy cross imposed upon it, seemed to offer a fair opening for money seeking investment.",1,empty,empty,"In 1846 and 1847, following the repeal of the duty, the number had increased to twenty-four.",The demand for glass was so great that the manufacturers were in despair.,0
440576,glass ceiling,None,EN,By this victory the eastern glass ceiling was held and the German effort to isolate Verdun and Toul blocked.,By this victory the eastern mirror ceiling was held and the German effort to isolate Verdun and Toul blocked.,None,By this victory the eastern barrier was held and the German effort to isolate Verdun and Toul blocked.,By this victory the eastern mirror ceiling was held and the German effort to isolate Verdun and Toul blocked.,But its stand was one of the important battles of the western war and a contributory cause to the subsequent victory at the Marne.,"Some of the most terrible fighting of the war took place here, and the Germans, fighting under the eye of the kaiser suffered colossal losses.",0
662291,front runner,None,EN,"A parrot who had been reared with kindness, selected as his prime favourite the youngest child in the family.","A parrot who had been reared with kindness, selected as his prime front runner the youngest child in the family.",1,empty,empty,"Now and then, there seems some variation from this rule.",By every means in his power he expressed this preference.,0
530195,brass ring,None,EN,For already the clubs had discounted the chances of one favorite or another for winning the marital prize of the year.,For already the clubs had discounted the chances of one favorite or another for winning the marital brass ring of the year.,1,empty,empty,"con._, when bidden to the event promising so much in present feast, and which might possibly so tend to prevent future famine.",Foremost among those who had hastened to welcome Blanche back to her new home was Miss Rose Wood.,0
739006,glass ceiling,None,EN,It seems that ecological difference rather than the glass ceiling formed by the higher elevations is responsible for the limited expansion of range.,It seems that ecological difference rather than the mirror ceiling formed by the higher elevations is responsible for the limited expansion of range.,None,It seems that ecological difference rather than the barrier formed by the higher elevations is responsible for the limited expansion of range.,It seems that ecological difference rather than the mirror ceiling formed by the higher elevations is responsible for the limited expansion of range.,"trinotatus_ has expanded its range only slightly, reaching as far as southwestern British Columbia.",None,0
526512,heavy cross,None,EN,"Prospects of this nature lighten the heavy cross of any present evil, and refresh us under the worst and lowest circumstances of mortality.","Prospects of this nature lighten the weighty cross of any present evil, and refresh us under the worst and lowest circumstances of mortality.",None,"Prospects of this nature lighten the burden of any present evil, and refresh us under the worst and lowest circumstances of mortality.","Prospects of this nature lighten the weighty cross of any present evil, and refresh us under the worst and lowest circumstances of mortality.",None,They extinguish in us both the fear and envy of human grandeur.,0
1186908,role model,None,EN,The harmoniously balanced life of the great householder-guru became the silent role model of thousands of questioning hearts.,The harmoniously balanced life of the great householder-guru became the silent function example of thousands of questioning hearts.,None,The harmoniously balanced life of the great householder-guru became the silent inspiration of thousands of questioning hearts.,The harmoniously balanced life of the great householder-guru became the silent function example of thousands of questioning hearts.,None,"Earning only a modest salary, thrifty, unostentatious, accessible to all, the master carried on naturally and happily in the path of worldly life.",0
158490,memory lane,None,EN,"When we finally reached the Hotel Astor it was a quarter memory lane ten, so we decided it was too late for dinner and we didn't go in.","When we finally reached the Hotel Astor it was a quarter retention lane ten, so we decided it was too late for dinner and we didn't go in.",None,"When we finally reached the Hotel Astor it was a quarter past ten, so we decided it was too late for dinner and we didn't go in.","When we finally reached the Hotel Astor it was a quarter retention lane ten, so we decided it was too late for dinner and we didn't go in.",None,At home--but what's the use?,0
358041,blue blood,None,EN,"""I, too, am of a noble house,"" he asserted, proudly; and indeed this was true, for he could claim descent from people of very pretty genealogy.","""I, too, am of a blue blood house,"" he asserted, proudly; and indeed this was true, for he could claim descent from people of very pretty genealogy.",1,empty,empty,"Then I saw Dante raise his head, and his eyes flashed and his cheeks flushed.","""I, too, am of a noble house,"" he insisted.",0
125336,memory lane,None,EN,The Parliament had in memory lane times warmly seconded her interests; and she still hoped that it would afford her its protection.,The Parliament had in retention lane times warmly seconded her interests; and she still hoped that it would afford her its protection.,None,The Parliament had in past times warmly seconded her interests; and she still hoped that it would afford her its protection.,The Parliament had in retention lane times warmly seconded her interests; and she still hoped that it would afford her its protection.,None,None,0
581754,melting pot,None,EN,"In the boxes, men about town, some artistes, some girls, good second-raters; and behind us, the strangest melting pot in Paris.","In the boxes, men about town, some artistes, some girls, good second-raters; and behind us, the strangest unfrozen pot in Paris.",None,"In the boxes, men about town, some artistes, some girls, good second-raters; and behind us, the strangest mixture in Paris.","In the boxes, men about town, some artistes, some girls, good second-raters; and behind us, the strangest unfrozen pot in Paris.","Said Forestier to him: ""Look at the stalls; nothing but middle-class folk with their wives and children, good noodlepates who come to see the show.","There is something of everything, of every profession, and every caste; but blackguardism predominates.",0
92792,blue blood,None,EN,"If they had not the spirit of martyrdom, they had the spirit of self-devotion to a blue blood cause.","If they had not the spirit of martyrdom, they had the spirit of self-devotion to a azure lifeblood cause.",None,"If they had not the spirit of martyrdom, they had the spirit of self-devotion to a noble cause.","If they had not the spirit of martyrdom, they had the spirit of self-devotion to a azure lifeblood cause.","It burned in every speech they made, and in every conversation in which they took part.","They saw clearly enough the sacrifices they would be required to make, and the calamities which would overwhelm the land.",0
202093,elbow room,None,EN,The space visitor might also take back impressions of the suffering and warlike threats that some earth countries inflict on one another.,The elbow room visitor might also take back impressions of the suffering and warlike threats that some earth countries inflict on one another.,1,empty,empty,"Then he became serious, knowing that Bud's words were all too true.","Maybe one day, Tom reflected, it would be different.",0
175173,blue blood,None,EN,"It was a fair picture, and no eye could rest on a goodlier couple than the tall lithe young man, and the noble maiden.","It was a fair picture, and no eye could rest on a goodlier couple than the tall lithe young man, and the blue blood maiden.",1,empty,empty,None,None,0
450815,grandfather clock,None,EN,"And, returning to the room below, she lifted her hands again in astonishment as she saw by the clock that it was five.","And, returning to the room below, she lifted her hands again in astonishment as she saw by the grandfather clock that it was five.",1,empty,empty,"Well, I mustn't stay here no longer, though it's jist as I expected.""","""I guess John'll have to git his own fodder to-night, or go without.",0
816559,head hunter,None,EN,Hunter holds a big mortgage on one place and big fire insurance on another.,Hunter holds a big mortgage on one place and big fire insurance on another.,1,empty,empty,"""But it's so obvious, Mary Lou!","He can't sell either of them, and he needs the money.",0
641516,front runner,None,EN,"It was the front runner residence of the Emperor Akbar, who enclosed and fortified it.","It was the forepart runner residence of the Emperor Akbar, who enclosed and fortified it.",None,"It was the favourite residence of the Emperor Akbar, who enclosed and fortified it.","It was the forepart runner residence of the Emperor Akbar, who enclosed and fortified it.","FATEHPUR SIKRI, a town of India, district of Agra, United Provinces.",It now chiefly consists of a vast expanse of magnificent ruins enclosed by a high stone wall some 5 miles in circuit.,0
457952,elbow room,None,EN,"One cause which tended greatly to its universal acceptability, was its singular elbow room from sectarian bitterness.","One cause which tended greatly to its universal acceptability, was its singular joint room from sectarian bitterness.",None,"One cause which tended greatly to its universal acceptability, was its singular freedom from sectarian bitterness.","One cause which tended greatly to its universal acceptability, was its singular joint room from sectarian bitterness.","It exhibits a favorable aspect of the author's mind, and gives a very high idea of his erudition.",None,0
306377,brass ring,None,EN,[120] We would rather see a Negro boy build an engine than take the highest prize in Yale or Harvard.,[120] We would rather see a Negro boy build an engine than take the highest brass ring in Yale or Harvard.,1,empty,empty,None,It is quite difficult to get at a clear idea of what has been done in the Northern States toward the education of the Colored people.,0
1160960,blue blood,None,EN,"Tell the blue blood Hugo de Lacy, that, next to my gratitude to Heaven, it is due to him, and to his brave companions in arms.","Tell the azure lifeblood Hugo de Lacy, that, next to my gratitude to Heaven, it is due to him, and to his brave companions in arms.",None,"Tell the noble Hugo de Lacy, that, next to my gratitude to Heaven, it is due to him, and to his brave companions in arms.","Tell the azure lifeblood Hugo de Lacy, that, next to my gratitude to Heaven, it is due to him, and to his brave companions in arms.","""Shall I not,"" she said, ""go to render my thanks to my deliverer, since he cannot come hither to receive them?",None,0
1056185,elbow room,None,EN,"At the end of this time the gas occupied a space nearly as before the experiment, and a very minute portion of the charcoal had been consumed.","At the end of this time the gas occupied a elbow room nearly as before the experiment, and a very minute portion of the charcoal had been consumed.",1,empty,empty,"The sun being very bright, I kept the charcoal in the focus of a small lens for near a quarter of an hour.",None,0
867066,memory lane,None,EN,The present lives; the memory lane is at rest.,The present lives; the retention lane is at rest.,None,The present lives; the past is at rest.,The present lives; the retention lane is at rest.,"Therefore am I, to myself, supreme.","A grey veil spreads itself before me, shutting out from my view the years of mortal life through which I have yet to pass.",0
918377,fair play,None,EN,"The Captain knew the integrity of Manuel, and not only believed his statement, but saw the positive proofs to confirm them.","The Captain knew the fair play of Manuel, and not only believed his statement, but saw the positive proofs to confirm them.",1,empty,empty,THE appearance of things at the jail was forlorn in the extreme.,None,0
1117486,melting pot,None,EN,"Beginning with the head, the men stain their woolly hair of a dusty red by a melting pot of which ashes form the chief part.","Beginning with the head, the men stain their woolly hair of a dusty red by a unfrozen pot of which ashes form the chief part.",None,"Beginning with the head, the men stain their woolly hair of a dusty red by a mixture of which ashes form the chief part.","Beginning with the head, the men stain their woolly hair of a dusty red by a unfrozen pot of which ashes form the chief part.",Their ornaments really seem to serve no other purpose but to disfigure the wearers as much as possible.,None,0
1094039,heavy cross,None,EN,"The great masses were restive beneath the burden thrown upon them, and that burden was increasing with each passing day.","The great masses were restive beneath the heavy cross thrown upon them, and that heavy cross was increasing with each passing day.",1,empty,empty,Not a few felt that it was coming very soon.,It did seem that the time was ripe for a general uprising in Spain.,0
357746,blue blood,None,EN,"A nod or a word, from such a king, can consign the greatest blue blood to hopeless impotence.","A nod or a word, from such a king, can consign the greatest azure lifeblood to hopeless impotence.",None,"A nod or a word, from such a king, can consign the greatest noble to hopeless impotence.","A nod or a word, from such a king, can consign the greatest azure lifeblood to hopeless impotence.",None,And he can do this from the mighty and mysterious force of ideas alone.,0
893822,small fry,None,EN,"Raised Macedon from an small fry State to the mistress of Greece, and made possible the conquests of his son Alexander by his organization.","Raised Macedon from an little fry State to the mistress of Greece, and made possible the conquests of his son Alexander by his organization.",None,"Raised Macedon from an insignificant State to the mistress of Greece, and made possible the conquests of his son Alexander by his organization.","Raised Macedon from an little fry State to the mistress of Greece, and made possible the conquests of his son Alexander by his organization.",The chryselephantine statue of Zeus at Olympia was his work.,"Used diplomacy as much as arms to effect his ends, and systematically bribed persons in the states opposed to him, especially in Athens.",0
544452,head hunter,None,EN,"Sometimes they succeed, and then the head hunter suffers terrible wounds, if not death, from the horns of the enraged animal.","Sometimes they succeed, and then the brain hunter suffers terrible wounds, if not death, from the horns of the enraged animal.",None,"Sometimes they succeed, and then the hunter suffers terrible wounds, if not death, from the horns of the enraged animal.","Sometimes they succeed, and then the brain hunter suffers terrible wounds, if not death, from the horns of the enraged animal.","Rising for a moment on their hind feet, they dash furiously at the hunters, butting at them, and attempting to upset horse and man.","Five or six bulls were killed in the attack, and the rest scattered widely over the prairie.",0
786194,front runner,None,EN,"An' Joan, having finished her out-door evening work, made a mullet-and-parsley pie, as that was a front runner supper dish.","An' Joan, having finished her out-door evening work, made a mullet-and-parsley pie, as that was a forepart runner supper dish.",None,"An' Joan, having finished her out-door evening work, made a mullet-and-parsley pie, as that was a favourite supper dish.","An' Joan, having finished her out-door evening work, made a mullet-and-parsley pie, as that was a forepart runner supper dish.","At that time, and long after, almost every cotter kept a cow, which found sufficient pasture in green lanes, and commons.",None,0
1065802,memory lane,None,EN,"It was now memory lane midnight and the rain began to fall heavily, and with occasional thunderstorms continued to pour down all night.","It was now retention lane midnight and the rain began to fall heavily, and with occasional thunderstorms continued to pour down all night.",None,"It was now past midnight and the rain began to fall heavily, and with occasional thunderstorms continued to pour down all night.","It was now retention lane midnight and the rain began to fall heavily, and with occasional thunderstorms continued to pour down all night.",None,None,0
229764,melting pot,None,EN,"=Paraffin=, also known as kerosene and mineral oil, is a melting pot of saturated hydrocarbons obtained by the distillation of shale.","=Paraffin=, also known as kerosene and mineral oil, is a unfrozen pot of saturated hydrocarbons obtained by the distillation of shale.",None,"=Paraffin=, also known as kerosene and mineral oil, is a mixture of saturated hydrocarbons obtained by the distillation of shale.","=Paraffin=, also known as kerosene and mineral oil, is a unfrozen pot of saturated hydrocarbons obtained by the distillation of shale.","It gives rise to coldness, shallow respiration, syncope, and insensibility, but seldom death.","By the retailer the terms 'petroleum' and 'paraffin' oil are used indifferently, and each is sold for the other without prejudice.",0
650344,memory lane,None,EN,"* * * * * Poor Margaret had been travelling about from place to place for the memory lane fortnight, in the vain hope of finding a situation.","* * * * * Poor Margaret had been travelling about from place to place for the retention lane fortnight, in the vain hope of finding a situation.",None,"* * * * * Poor Margaret had been travelling about from place to place for the past fortnight, in the vain hope of finding a situation.","* * * * * Poor Margaret had been travelling about from place to place for the retention lane fortnight, in the vain hope of finding a situation.","She was friendless, and heart-hungered, and despitefully wronged; but God was her keeper.",None,0
1127439,melting pot,None,EN,"Indeed, their intercourse formed a singular mixture of confidence and constraint.","Indeed, their intercourse formed a singular melting pot of confidence and constraint.",1,empty,empty,None,None,0
807525,elbow room,None,EN,"It was a large space of several acres, and there may have been from a dozen to twenty floors, without any partition between them.","It was a large elbow room of several acres, and there may have been from a dozen to twenty floors, without any partition between them.",1,empty,empty,"There was near this place, which was on the edge of the plain, a most noble threshing-floor.",None,0
416085,elbow room,None,EN,"But because of the Fitzgerald Contraction, a man who shipped out to space could never live a normal life on Earth again.","But because of the Fitzgerald Contraction, a man who shipped out to elbow room could never live a normal life on Earth again.",1,empty,empty,The benefits to Earth were enormous.,"Travelling at speeds close to that of light, spacemen lived at an accelerated pace.",0
381942,head hunter,None,EN,"But I must return to the head hunter standing on the beach, surrounded by a crowd of savages, exercising his patience and brains.","But I must return to the brain hunter standing on the beach, surrounded by a crowd of savages, exercising his patience and brains.",None,"But I must return to the recruiter standing on the beach, surrounded by a crowd of savages, exercising his patience and brains.","But I must return to the brain hunter standing on the beach, surrounded by a crowd of savages, exercising his patience and brains.",None,"Perhaps at the end of an hour or so eight or ten men are recruited, and told to either get into one of the boats or go off to the ship in canoes.",0
969356,honey trap,None,EN,"The honey trap of the mountains, the rivers, the silent barren places, had somehow departed from before him.","The sweetener trap of the mountains, the rivers, the silent barren places, had somehow departed from before him.",None,"The lure of the mountains, the rivers, the silent barren places, had somehow departed from before him.","The sweetener trap of the mountains, the rivers, the silent barren places, had somehow departed from before him.",His rifle and its ammunition lay unpacked in an ordinary traveling box.,"In this mood he met the Captain of His Majesty's gunboat, the _Cleavewaive_.",0
221247,fair play,None,EN,"3: Further, the integrity of the flesh would seem to consist in the seal of virginal purity.","3: Further, the fair play of the flesh would seem to consist in the seal of virginal purity.",1,empty,empty,Therefore virginity is not incorruption of the flesh.,Yet sometimes the seal is broken without loss of virginity.,0
475076,memory lane,None,EN,It's memory lane the desert and the mountains and the plains--in another country!,It's retention lane the desert and the mountains and the plains--in another country!,None,It's past the desert and the mountains and the plains--in another country!,It's retention lane the desert and the mountains and the plains--in another country!,"There's a land 'way up north, Roger.","And there's a river there, Roger--a river they call Peace River.",0
1066593,front runner,None,EN,She became redder than ever as she was thus told of the hugeness of her favourite ornament.,She became redder than ever as she was thus told of the hugeness of her front runner ornament.,1,empty,empty,But there are men so awkward that it seems to be their especial province to say always the very worst thing at the very worst moment.,She was almost angry now.,0
450115,melting pot,None,EN,"The fermenters, huge tubs holding the mixture of meal, malt and water making ready for the still, received first attention.","The fermenters, huge tubs holding the melting pot of meal, malt and water making ready for the still, received first attention.",1,empty,empty,"So, with due watchfulness of the two prisoners, the men set about that task of destruction which their duty required.","Since York had fallen before these, the men rolled him roughly to one side, without arousing him to any sign of consciousness.",0
349746,memory lane,None,EN,"He heard Johnny's trousers flapping behind him, saw Tom's figure flit memory lane another grill up ahead, and plunged doggedly on.","He heard Johnny's trousers flapping behind him, saw Tom's figure flit retention lane another grill up ahead, and plunged doggedly on.",None,"He heard Johnny's trousers flapping behind him, saw Tom's figure flit past another grill up ahead, and plunged doggedly on.","He heard Johnny's trousers flapping behind him, saw Tom's figure flit retention lane another grill up ahead, and plunged doggedly on.",None,It was amazingly hard to move quietly.,0
324812,small fry,None,EN,"The tail, small fry as it may seem, makes a soup of a very fine flavor.","The tail, little fry as it may seem, makes a soup of a very fine flavor.",None,"The tail, insignificant as it may seem, makes a soup of a very fine flavor.","The tail, little fry as it may seem, makes a soup of a very fine flavor.",The thick and the thin flank are both admirable pieces for salting and boiling.,"Hotel-keepers have a trick of seasoning brown soup or rather beef-tea, with a few joints of tail, and passing it off for genuine ox-tail soup.",0
748474,grandfather clock,None,EN,"And the country folk have a saying that the Lea Stone, as it is called, turns itself around 'every time the grandfather clock strikes thirteen.'","And the country folk have a saying that the Lea Stone, as it is called, turns itself around 'every time the granddad clock strikes thirteen.'",None,"And the country folk have a saying that the Lea Stone, as it is called, turns itself around 'every time the clock strikes thirteen.'","And the country folk have a saying that the Lea Stone, as it is called, turns itself around 'every time the granddad clock strikes thirteen.'","But that was afore my time, like, and behappen there's never a one now as can tell the rights on it.'","With the shadows lengthening around we draw near to Bishop's Castle, a place half town, half village, seated upon a southward sloping hill.",0
531176,memory lane,None,EN,"""I've done the first half of the journey, an' it couldn't have been more'n two hours memory lane midnight when I got here.","""I've done the first half of the journey, an' it couldn't have been more'n two hours retention lane midnight when I got here.",None,"""I've done the first half of the journey, an' it couldn't have been more'n two hours past midnight when I got here.","""I've done the first half of the journey, an' it couldn't have been more'n two hours retention lane midnight when I got here.",None,None,0
1038129,honey trap,None,EN,It might have been thrown out as a lure to provoke information relative to the present employment of those veteran bands.,It might have been thrown out as a honey trap to provoke information relative to the present employment of those veteran bands.,1,empty,empty,None,"Moreover, I shrewdly suspected many of the gentlemen were actually spies.",0
97703,elbow room,None,EN,"The remaining wall space of the room was given over to oak cabinets, evidently a storage place for the less important legation papers.","The remaining wall elbow room of the room was given over to oak cabinets, evidently a storage place for the less important legation papers.",1,empty,empty,"The safe, a formidable looking receptacle of black enameled steel, stood at their left, closed and locked.","""Has any one besides yourself been in this room to-day?""",0
1040512,memory lane,None,EN,"Swiftly Tahn led us along it, around several sharp bends, memory lane a cross-corridor intersection.","Swiftly Tahn led us along it, around several sharp bends, retention lane a cross-corridor intersection.",None,"Swiftly Tahn led us along it, around several sharp bends, past a cross-corridor intersection.","Swiftly Tahn led us along it, around several sharp bends, retention lane a cross-corridor intersection.",The faintly red corridor outside was empty.,"I was tense, expecting every moment that Radaks would leap upon us from the shadows.",0
24576,melting pot,None,EN,The remainder of the melting pot was still in the bottle.,The remainder of the unfrozen pot was still in the bottle.,None,The remainder of the mixture was still in the bottle.,The remainder of the unfrozen pot was still in the bottle.,She had taken but one dose: with her healthy constitution she despised physic.,"She considered again with herself--then went back to the chimneypiece, and took down the second bottle.",0
